Iterations,MLUPS
0,0
1,2.374016
2,4.60114
3,6.755851
4,8.795873
5,10.793265
6,12.719947
7,14.571331
8,16.35745
9,18.071705
10,19.740198
11,21.351263
12,22.90797
13,24.417622
14,25.88357
15,27.274752
16,28.643194
17,29.97175
18,31.264154
19,32.50534
20,33.716404
21,34.895462
22,36.042873
23,37.1629
24,38.255962
25,39.302437
26,40.32533
27,41.310505
28,42.287483
29,43.218716
30,44.143436
31,45.030434
32,45.88829
33,46.737713
34,47.56701
35,48.380486
36,49.153656
37,49.926476
38,50.69078
39,51.428715
40,52.143864
41,52.844986
42,53.531147
43,54.187202
44,54.847942
45,55.497185
46,56.122753
47,56.73903
48,57.340733
49,57.922123
50,58.49126
51,59.063087
52,59.607796
53,60.151478
54,60.679317
55,61.203648
56,61.712776
57,62.202965
58,62.713276
59,63.204155
60,63.686695
61,64.15149
62,64.60342
63,65.0407
64,65.48254
65,65.93619
66,66.343864
67,66.7461
68,67.13985
69,67.51553
70,67.89832
71,68.29227
72,68.68297
73,69.066216
74,69.44947
75,69.79499
76,70.12812
77,70.46647
78,70.821815
79,71.1588
80,71.486015
81,71.816154
82,72.15082
83,72.47248
84,72.78473
85,73.085754
86,73.39414
87,73.70981
88,73.96016
89,74.2658
90,74.57146
91,74.85163
92,75.12078
93,75.36348
94,75.615456
95,75.89238
96,76.17442
97,76.46139
98,76.73751
99,77.00722
100,77.27399
101,77.5124
102,77.60276
103,77.72187
104,77.96741
105,78.20407
106,78.41564
107,78.628944
108,78.844505
109,79.055504
110,79.2584
111,79.48676
112,79.726364
113,79.95704
114,80.17291
115,80.394485
116,80.59572
117,80.808685
118,80.99624
119,81.17998
120,81.37452
121,81.58353
122,81.78759
123,81.958916
124,82.12296
125,82.29434
126,82.46201
127,82.622856
128,82.77768
129,82.93102
130,83.099846
131,83.275795
132,83.444725
133,83.61529
134,83.78324
135,83.96267
136,84.12478
137,84.28282
138,84.444
139,84.60831
140,84.762276
141,84.90374
142,85.04544
143,85.177124
144,85.31535
145,85.44617
146,85.578094
147,85.71464
148,85.84212
149,85.96991
150,86.09559
151,86.22101
152,86.34798
153,86.488434
154,86.62326
155,86.75629
156,86.89983
157,87.04005
158,87.17653
159,87.31456
160,87.461205
161,87.59427
162,87.71845
163,87.84919
164,87.96154
165,88.07377
166,88.19291
167,88.311806
168,88.42965
169,88.5584
170,88.672585
171,88.78645
172,88.90125
173,89.014175
174,89.126656
175,89.2346
176,89.34946
177,89.45435
178,89.56254
179,89.66363
180,89.75275
