Iterations,MLUPS
0,0
1,0.06996294
2,0.139298
3,0.20803589
4,0.2729203
5,0.33518547
6,0.40046632
7,0.46449715
8,0.5288735
9,0.5926069
10,0.6520435
11,0.7145397
12,0.7766723
13,0.83907676
14,0.9011483
15,0.9629227
16,1.024465
17,1.0856591
18,1.1467397
19,1.2074648
20,1.267924
21,1.3282462
22,1.3883291
23,1.4481491
24,1.5076271
25,1.5668377
26,1.6257585
27,1.684453
28,1.7428827
29,1.8010296
30,1.8589036
31,1.9164987
32,1.973879
33,2.0311246
34,2.088151
35,2.144937
36,2.201485
37,2.2577488
38,2.313779
39,2.3696084
40,2.4253187
41,2.4806542
42,2.5357895
43,2.5906239
44,2.645259
45,2.699149
46,2.753239
47,2.8071527
48,2.8608384
49,2.9142976
50,2.9677806
51,3.0208964
52,3.0737638
53,3.1263607
54,3.17871
55,3.2309055
56,3.2828197
57,3.334765
58,3.3864365
59,3.4377367
60,3.4888573
61,3.539713
62,3.5904078
63,3.6407099
64,3.6909692
65,3.7410767
66,3.7911208
67,3.840962
68,3.8904738
69,3.9398172
70,3.9889085
71,4.037833
72,4.0865602
73,4.1352844
74,4.183733
75,4.231904
76,4.279812
77,4.327478
78,4.3751597
79,4.4224725
80,4.469695
81,4.5169764
82,4.5638266
83,4.6104965
84,4.6569943
85,4.703328
86,4.749406
87,4.795328
88,4.841339
89,4.8868794
90,4.9320636
91,4.9772134
92,5.0222235
93,5.0671062
94,5.111644
95,5.1561475
96,5.2007523
97,5.245106
98,5.2890673
99,5.332545
100,5.376149
101,5.419067
102,5.462134
103,5.505241
104,5.5478973
105,5.5903883
106,5.626873
107,5.6432858
108,5.6854296
109,5.7273817
110,5.7692795
111,5.8109384
112,5.8521214
113,5.893046
114,5.9341927
115,5.9539084
116,5.994129
117,6.034842
118,6.0753293
119,6.1158323
120,6.1559916
121,6.1961417
122,6.2360516
123,6.2758565
124,6.3153725
125,6.3548226
126,6.3940945
127,6.433443
128,6.472846
129,6.511867
130,6.5508227
131,6.589394
132,6.627531
133,6.6657944
134,6.703865
135,6.7418227
136,6.779904
137,6.818076
138,6.855892
139,6.893522
140,6.931086
141,6.9684315
142,7.005523
143,7.042673
144,7.079724
145,7.116781
146,7.153508
147,7.190067
148,7.2264643
149,7.2627573
150,7.2990103
151,7.3349776
152,7.370983
153,7.407286
154,7.443106
155,7.478753
156,7.5142784
157,7.5494905
158,7.5847554
159,7.6200175
160,7.6550217
161,7.69036
162,7.7252173
163,7.759974
164,7.7944555
165,7.8287306
166,7.8631296
167,7.8973207
168,7.931843
169,7.965981
170,7.9999113
171,8.033709
172,8.067409
173,8.100766
174,8.134119
175,8.16742
176,8.20098
177,8.234084
178,8.267049
179,8.299911
180,8.3326645
181,8.3654
182,8.3977995
183,8.430178
184,8.462812
185,8.495228
186,8.527359
187,8.5593195
188,8.591129
189,8.622883
190,8.653717
191,8.6847
192,8.715965
193,8.74703
194,8.778051
195,8.809117
196,8.840059
197,8.87099
198,8.902283
199,8.932893
200,8.963578
201,8.993667
202,9.023881
203,9.05395
204,9.084221
205,9.113986
206,9.131613
207,9.134596
208,9.163389
209,9.192973
210,9.222215
211,9.249528
212,9.278599
213,9.307136
214,9.313123
215,9.3415165
216,9.370293
217,9.398926
218,9.428039
219,9.457291
220,9.486031
221,9.514421
222,9.543
223,9.571435
224,9.599745
225,9.627987
226,9.656343
227,9.685015
228,9.713124
229,9.740974
230,9.768849
231,9.796459
232,9.823757
233,9.851281
234,9.878412
235,9.905901
236,9.933412
237,9.961291
238,9.988434
239,10.01577
240,10.042932
241,10.070078
242,10.096805
243,10.123662
244,10.151017
245,10.1780615
246,10.204611
247,10.231082
248,10.257614
249,10.283841
250,10.310179
251,10.336432
252,10.363066
253,10.389191
254,10.415156
255,10.441115
256,10.466799
257,10.492585
258,10.518149
259,10.54386
260,10.569931
261,10.595509
262,10.620725
263,10.645983
264,10.671209
265,10.6964035
266,10.721602
267,10.746661
268,10.77197
269,10.797198
270,10.822141
271,10.847002
272,10.871513
273,10.896103
274,10.920702
275,10.945245
276,10.970055
277,10.994412
278,11.018931
