Iterations,MLUPS
0,63
1,66
2,69
3,72
4,75
5,78
6,81
7,84
8,87
9,90
10,93
11,96
12,99
13,102
14,105
15,108
16,111
17,114
18,117
19,120
20,123
21,126
22,129
23,132
24,135
25,138
26,141
27,144
28,147
29,150
30,153
31,156
32,159
33,162
34,165
35,168
36,171
37,174
38,177
39,180
40,183
41,93
42,94.5
43,96
44,97.5
45,99
46,100.5
47,102
48,103.5
49,105
50,106.5
51,108
52,109.5
53,111
54,112.5
55,114
56,115.5
57,117
58,118.5
59,120
60,121.5
61,123
62,124.5
63,126
64,127.5
65,129
66,130.5
67,132
68,133.5
69,135
70,136.5
71,138
72,139.5
73,141
74,142.5
75,144
76,145.5
77,147
78,148.5
79,150
80,151.5
81,153
82,103
83,104
84,105
85,106
86,107
87,108
88,109
89,110
90,111
91,112
92,113
93,114
94,115
95,116
96,117
97,118
98,119
99,120
100,121
101,122
102,123
103,124
104,125
105,126
106,127
107,128
108,129
109,130
110,131
111,132
112,133
113,134
114,135
115,136
116,137
117,138
118,139
119,140
120,141
121,142
122,143
123,108
124,108.75
125,109.5
126,110.25
127,111
128,111.75
129,112.5
130,113.25
131,114
132,114.75
133,115.5
134,116.25
135,117
136,117.75
137,118.5
138,119.25
139,120
140,120.75
141,121.5
142,122.25
143,123
144,123.75
145,124.5
146,125.25
147,126
148,126.75
149,127.5
150,128.25
151,129
152,129.75
153,130.5
154,131.25
155,132
156,132.75
157,133.5
158,134.25
159,135
160,135.75
161,136.5
162,137.25
163,138
164,111
165,111.6
166,112.2
167,112.8
168,113.4
169,114
170,114.6
171,115.2
172,115.8
173,116.4
174,117
175,117.6
176,118.2
177,118.8
178,119.4
179,120
180,120.6
181,121.2
182,121.8
183,122.4
184,123
185,123.6
186,124.2
187,124.8
188,125.4
189,126
190,126.6
191,127.2
192,127.8
193,128.4
194,129
195,129.6
196,130.2
197,130.8
198,131.4
199,132
200,132.6
201,133.2
202,133.8
203,134.4
204,135
205,113
206,113.5
207,114
208,114.5
209,115
210,115.5
211,116
212,116.5
213,117
214,117.5
215,118
216,118.5
217,119
218,119.5
219,120
220,120.5
221,121
222,121.5
223,122
224,122.5
225,123
226,123.5
227,124
228,124.5
229,125
230,125.5
231,126
232,126.5
233,127
234,127.5
235,128
236,128.5
237,129
238,129.5
239,130
240,130.5
241,131
242,131.5
243,132
244,132.5
245,133
246,114.42857
