Iterations,MLUPS
0,55.05024
1,57.671677
2,60.293118
3,62.91456
4,65.535995
5,68.15744
6,70.77888
7,73.400314
8,76.02176
9,78.643196
10,81.26464
11,83.88608
12,86.507515
13,89.12896
14,91.7504
15,94.37184
16,96.99328
17,99.614716
18,102.23616
19,104.8576
20,107.479034
21,110.10048
22,112.72192
23,115.34335
24,117.9648
25,120.586235
26,123.20768
27,125.82912
28,128.45056
29,131.07199
30,133.69344
31,136.31488
32,138.93631
33,141.55775
34,144.1792
35,146.80063
36,149.42207
37,152.04352
38,154.66496
39,157.28639
40,159.90784
41,162.52928
42,165.15071
43,167.77216
44,170.3936
45,173.01503
46,175.63647
47,89.12896
48,90.439674
49,91.7504
50,93.06112
51,94.37184
52,95.682556
53,96.99328
54,98.304
55,99.614716
56,100.92544
57,102.23616
58,103.546875
59,104.8576
60,106.16832
61,107.479034
62,108.78976
63,110.10048
64,111.411194
65,112.72192
66,114.03264
67,115.34335
68,116.654076
69,117.9648
70,119.27552
71,120.586235
72,121.89696
73,123.20768
74,124.518394
75,125.82912
76,127.13984
77,128.45056
78,129.76128
79,131.07199
80,132.38272
81,133.69344
82,135.00415
83,136.31488
84,137.6256
85,138.93631
86,140.24704
87,141.55775
88,142.86847
89,144.1792
90,145.48991
91,146.80063
92,148.11136
93,149.42207
94,150.7328
95,101.36234
96,102.23615
97,103.10998
98,103.98379
99,104.8576
100,105.731415
101,106.605225
102,107.479034
103,108.35285
104,109.22666
105,110.10047
106,110.9743
107,111.84811
108,112.72192
109,113.59573
110,114.46954
111,115.34335
112,116.21717
113,117.09098
114,117.96479
115,118.838615
116,119.712425
117,120.586235
118,121.46005
119,122.33386
120,123.20767
121,124.08149
122,124.9553
123,125.829124
124,126.702934
125,127.576744
126,128.45056
127,129.32437
128,130.19818
129,131.072
130,131.94582
131,132.81963
132,133.69344
133,134.56725
134,135.44106
135,136.31488
136,137.18869
137,138.0625
138,138.93633
139,139.81013
140,140.68394
141,141.55775
142,142.43156
143,107.479034
144,108.1344
145,108.78976
146,109.445114
147,110.10048
148,110.75584
149,111.411194
150,112.06656
151,112.72192
152,113.37727
153,114.03264
154,114.687996
155,115.34335
156,115.99872
157,116.654076
158,117.30944
159,117.9648
160,118.620155
161,119.27552
162,119.93088
163,120.586235
164,121.2416
165,121.89696
166,122.552315
167,123.20768
168,123.86304
