Iterations,MLUPS
0,35.7
1,36
2,36.3
3,36.6
4,36.899998
5,37.2
6,37.5
7,37.8
8,38.1
9,38.399998
10,38.7
11,39
12,39.3
13,39.6
14,39.899998
15,40.2
16,40.5
17,40.8
18,41.1
19,41.399998
20,41.7
21,42
22,42.3
23,42.6
24,42.899998
25,43.2
26,43.5
27,43.8
28,44.1
29,44.399998
30,44.7
31,45
32,45.3
33,45.6
34,45.899998
35,46.199997
36,46.5
37,46.8
38,47.1
39,47.399998
40,47.699997
41,48
42,48.3
43,48.6
44,48.899998
45,49.199997
46,49.5
47,49.8
48,50.1
49,50.399998
50,50.699997
51,51
52,51.3
53,51.6
54,51.899998
55,52.199997
56,52.5
57,52.8
58,53.1
59,53.399998
60,53.699997
61,54
62,54.3
63,54.6
64,54.899998
65,55.199997
66,55.5
67,55.8
68,56.1
69,56.399998
70,56.699997
71,57
72,57.3
73,57.6
74,57.899998
75,58.199997
76,58.5
77,58.8
78,59.1
79,59.399998
80,59.699997
81,60
82,60.3
83,60.6
84,60.899998
85,61.199997
86,61.5
87,61.8
88,62.1
89,62.399998
90,62.699997
91,63
92,63.3
93,63.6
94,63.899998
95,64.2
96,64.5
97,64.799995
98,65.1
99,65.4
100,65.7
101,66
102,66.299995
103,66.6
104,66.9
105,67.2
106,67.5
107,67.799995
108,68.1
109,68.4
110,68.7
111,69
112,69.299995
113,69.6
114,69.9
115,70.2
116,70.5
117,70.799995
118,71.1
119,71.4
120,71.7
121,72
122,72.299995
123,72.6
124,72.9
125,73.2
126,73.5
127,73.799995
128,74.1
129,74.4
130,74.7
131,75
132,75.299995
133,75.6
134,75.9
135,76.2
136,76.5
137,76.799995
138,77.1
139,77.4
140,77.7
141,78
142,78.299995
143,78.6
144,78.9
145,79.2
146,79.5
147,79.799995
148,80.1
149,80.4
150,80.7
151,81
152,81.299995
153,81.6
154,81.9
155,82.2
156,82.5
157,82.799995
158,83.1
159,83.4
160,83.7
161,84
162,84.299995
163,84.6
164,84.9
165,85.2
166,85.5
167,85.799995
168,86.1
169,86.4
170,86.7
171,87
172,87.299995
173,87.6
174,87.9
175,88.2
176,88.5
177,88.799995
178,89.1
179,89.4
180,89.7
181,90
182,90.299995
183,90.6
184,90.899994
185,91.2
186,91.5
187,91.799995
188,92.1
189,92.399994
190,92.7
191,93
192,93.299995
193,93.6
194,93.899994
195,94.2
196,94.5
197,94.799995
198,95.1
199,95.399994
200,95.7
201,96
202,96.299995
203,96.6
204,96.899994
205,97.2
206,97.5
207,97.799995
208,98.1
209,98.399994
210,98.7
211,99
212,99.299995
213,99.6
214,99.899994
215,100.2
216,100.5
217,100.799995
218,101.1
219,101.399994
220,101.7
221,102
222,102.299995
223,102.6
224,102.899994
225,103.2
226,103.5
227,103.799995
228,104.1
229,104.399994
230,104.7
231,105
232,105.299995
233,105.6
234,105.899994
235,106.2
236,106.5
237,106.799995
238,107.1
239,107.399994
240,107.7
241,108
242,108.299995
243,108.6
244,108.899994
245,109.2
246,109.5
247,109.799995
248,110.1
249,110.399994
250,110.7
251,111
252,111.299995
253,55.8
254,55.949997
255,56.1
256,56.25
257,56.399998
258,56.55
259,56.699997
260,56.85
261,57
262,57.149998
263,57.3
264,57.449997
265,57.6
266,57.75
267,57.899998
268,58.05
269,58.199997
270,58.35
271,58.5
272,58.649998
273,58.8
274,58.949997
275,59.1
276,59.25
277,59.399998
278,59.55
279,59.699997
280,59.85
281,60
282,60.149998
283,60.3
284,60.449997
285,60.6
286,60.75
287,60.899998
288,61.05
289,61.199997
290,61.35
291,61.5
292,61.649998
293,61.8
294,61.949997
295,62.1
296,62.25
297,62.399998
298,62.55
299,62.699997
300,62.85
301,63
302,63.149998
303,63.3
304,63.449997
305,63.6
306,63.75
307,63.899998
308,64.049995
309,64.2
310,64.35
311,64.5
312,64.65
313,64.799995
314,64.95
315,65.1
316,65.25
317,65.4
318,65.549995
319,65.7
320,65.85
321,66
322,66.15
323,66.299995
324,66.45
325,66.6
326,66.75
327,66.9
328,67.049995
329,67.2
330,67.35
331,67.5
332,67.65
333,67.799995
334,67.95
335,68.1
336,68.25
337,68.4
338,68.549995
339,68.7
340,68.85
341,69
342,69.15
343,69.299995
344,69.45
345,69.6
346,69.75
347,69.9
348,70.049995
349,70.2
350,70.35
351,70.5
352,70.65
353,70.799995
