Iterations,MLUPS
0,24.412159
1,24.576
2,24.73984
3,24.903679
4,25.06752
5,25.23136
6,25.395199
7,25.55904
8,25.72288
9,25.886719
10,26.05056
11,26.2144
12,26.378239
13,26.54208
14,26.70592
15,26.869759
16,27.0336
17,27.19744
18,27.361279
19,27.52512
20,27.68896
21,27.852798
22,28.01664
23,28.18048
24,28.344318
25,28.50816
26,28.671999
27,28.835838
28,28.99968
29,29.163519
30,29.32736
31,29.4912
32,29.655039
33,29.81888
34,29.98272
35,30.146559
36,30.3104
37,30.47424
38,30.638079
39,30.80192
40,30.96576
41,31.129599
42,31.29344
43,31.45728
44,31.621119
45,31.78496
46,31.9488
47,32.11264
48,32.276478
49,32.44032
50,32.60416
51,32.767998
52,32.93184
53,33.09568
54,33.259518
55,33.42336
56,33.5872
57,33.751038
58,33.91488
59,34.07872
60,34.242558
61,34.4064
62,34.57024
63,34.734077
64,34.89792
65,35.06176
66,35.225597
67,35.38944
68,35.55328
69,35.717117
70,35.88096
71,36.0448
72,36.208637
73,36.37248
74,36.53632
75,36.700157
76,36.864
77,37.02784
78,37.19168
79,37.35552
80,37.51936
81,37.6832
82,37.84704
83,38.01088
84,38.17472
85,38.33856
86,38.5024
87,38.66624
88,38.83008
89,38.99392
90,39.15776
91,39.321598
92,39.48544
93,39.64928
94,39.813118
95,39.97696
96,40.1408
97,40.304638
98,40.46848
99,40.63232
100,40.796158
101,40.96
102,41.12384
103,41.287678
104,41.45152
105,41.61536
106,41.779198
107,41.94304
108,42.10688
109,42.270718
110,42.43456
111,42.5984
112,42.762238
113,42.92608
114,43.08992
115,43.253757
116,43.4176
117,43.58144
118,43.745277
119,43.90912
120,44.07296
121,44.236797
122,44.40064
123,44.56448
124,44.728317
125,44.89216
126,45.056
127,45.219837
128,45.38368
129,45.54752
130,45.711357
131,45.8752
132,46.03904
133,46.202877
134,46.36672
135,46.53056
136,46.694397
137,46.85824
138,47.02208
139,47.18592
140,47.34976
141,47.5136
142,47.67744
143,47.841278
144,48.00512
145,48.16896
146,48.332798
147,48.49664
148,48.66048
149,48.824318
150,48.98816
151,49.152
152,49.315838
153,49.47968
154,49.64352
155,49.807358
156,49.9712
157,50.13504
158,50.298878
159,50.46272
160,50.62656
161,50.790398
162,50.95424
163,51.11808
164,51.281918
165,51.44576
166,51.6096
167,51.773438
168,51.93728
169,52.10112
170,52.264957
171,52.4288
172,52.59264
173,52.756477
174,52.92032
175,53.08416
176,53.247997
177,53.41184
178,53.57568
179,53.739517
180,53.90336
181,54.0672
182,54.231037
183,54.39488
184,54.55872
185,54.722557
186,54.8864
187,55.05024
188,55.214077
189,55.37792
190,55.54176
191,55.705597
192,55.86944
193,56.03328
194,56.197117
195,56.36096
196,56.5248
197,56.688637
198,56.852478
199,57.01632
200,57.180157
201,57.343998
202,57.50784
203,57.671677
204,57.835518
205,57.99936
206,58.1632
207,58.327038
208,58.49088
209,58.65472
210,58.818558
211,58.9824
212,59.14624
213,59.310078
214,59.47392
215,59.63776
216,59.801598
217,59.96544
218,60.12928
219,60.293118
220,60.45696
221,60.6208
222,60.784637
223,60.94848
224,61.11232
225,61.276157
226,61.44
227,61.60384
228,61.767677
229,61.93152
230,62.09536
231,62.259197
232,62.42304
233,62.58688
234,62.750717
235,62.91456
236,63.0784
237,63.242237
238,63.40608
239,63.56992
240,63.733757
241,63.8976
242,64.06144
243,64.22528
244,64.38912
245,64.552956
246,64.7168
247,64.88064
248,65.04448
249,65.20832
250,65.37216
251,65.535995
252,65.69984
253,65.86368
254,66.02752
255,66.19136
256,66.3552
257,66.519035
258,66.68288
259,66.84672
260,67.01056
261,67.1744
262,67.33824
263,67.502075
264,67.66592
265,67.82976
266,67.9936
267,68.15744
268,68.32128
269,68.485115
270,68.64896
271,68.8128
272,68.97664
273,69.14048
274,69.30432
275,69.468155
276,69.631996
277,69.79584
278,69.95968
279,70.12352
280,70.28736
281,70.451195
282,70.615036
283,70.77888
284,70.94272
285,71.10656
286,71.2704
287,71.434235
288,71.598076
289,71.76192
290,71.92576
291,72.0896
292,72.25344
293,72.417274
294,72.581116
295,72.74496
296,72.9088
297,73.07264
298,73.23648
299,73.400314
300,73.564156
301,73.728
302,73.89184
303,74.05568
304,74.21952
305,74.38336
306,74.547195
307,74.71104
308,74.87488
309,75.03872
310,75.20256
311,75.3664
312,75.530235
313,75.69408
314,75.85792
315,76.02176
316,76.1856
317,76.34944
318,76.513275
319,76.67712
320,76.84096
321,77.0048
322,77.16864
323,77.33248
324,77.496315
325,77.66016
326,77.824
327,77.98784
328,78.15168
329,78.31552
330,78.479355
331,78.643196
332,78.80704
333,78.97088
334,79.13472
335,79.29856
336,79.462395
337,79.626236
338,79.79008
339,79.95392
340,80.11776
341,80.2816
342,80.445435
343,80.609276
344,80.77312
345,80.93696
346,81.1008
347,81.26464
348,81.428474
349,81.592316
350,81.75616
351,81.92
352,82.08384
353,82.24768
354,82.411514
355,82.575356
356,82.7392
357,82.90304
358,83.06688
359,83.23072
360,83.394554
361,83.558395
362,83.72224
363,83.88608
364,84.04992
365,84.21376
366,84.3776
367,84.541435
368,84.70528
369,84.86912
370,85.03296
371,85.1968
372,85.36064
373,85.524475
374,85.68832
375,85.85216
376,86.016
377,86.17984
378,86.34368
379,86.507515
380,86.67136
381,86.8352
382,86.99904
383,87.16288
384,87.32672
385,87.490555
386,87.654396
387,43.90912
388,43.99104
389,44.07296
390,44.15488
391,44.236797
392,44.318718
393,44.40064
394,44.48256
395,44.56448
396,44.6464
397,44.728317
398,44.810238
399,44.89216
400,44.97408
401,45.056
402,45.13792
403,45.219837
404,45.301758
405,45.38368
406,45.4656
407,45.54752
408,45.62944
409,45.711357
410,45.793278
411,45.8752
412,45.95712
413,46.03904
414,46.12096
415,46.202877
416,46.284798
417,46.36672
418,46.44864
419,46.53056
420,46.61248
421,46.694397
422,46.776318
423,46.85824
424,46.94016
425,47.02208
426,47.104
427,47.18592
428,47.267838
429,47.34976
430,47.43168
431,47.5136
432,47.59552
433,47.67744
434,47.759357
435,47.841278
436,47.9232
437,48.00512
438,48.08704
439,48.16896
440,48.250877
441,48.332798
442,48.41472
443,48.49664
444,48.57856
445,48.66048
446,48.742397
447,48.824318
448,48.90624
449,48.98816
450,49.07008
451,49.152
452,49.233917
453,49.315838
454,49.39776
455,49.47968
456,49.5616
457,49.64352
458,49.725437
459,49.807358
460,49.88928
461,49.9712
462,50.05312
463,50.13504
464,50.216957
465,50.298878
466,50.3808
467,50.46272
468,50.54464
469,50.62656
470,50.708477
471,50.790398
472,50.87232
473,50.95424
474,51.03616
475,51.11808
476,51.199997
477,51.281918
478,51.36384
479,51.44576
480,51.52768
481,51.6096
482,51.691517
483,51.773438
484,51.85536
485,51.93728
486,52.0192
487,52.10112
488,52.183037
489,52.264957
490,52.346878
491,52.4288
492,52.51072
493,52.59264
494,52.67456
495,52.756477
496,52.838398
497,52.92032
498,53.00224
499,53.08416
500,53.16608
501,53.247997
502,53.329918
503,53.41184
504,53.49376
505,53.57568
506,53.6576
507,53.739517
508,53.821438
509,53.90336
510,53.98528
511,54.0672
512,54.14912
513,54.231037
514,54.312958
515,54.39488
516,54.4768
517,54.55872
518,54.64064
519,54.722557
520,54.804478
521,54.8864
522,54.96832
523,55.05024
524,55.13216
525,55.214077
526,55.295998
527,55.37792
528,55.45984
529,55.54176
530,55.62368
531,55.705597
532,55.787518
533,55.86944
534,55.95136
535,56.03328
536,56.1152
537,56.197117
538,56.279037
539,56.36096
540,56.44288
541,56.5248
542,56.60672
543,56.688637
544,56.770557
545,56.852478
546,56.9344
547,57.01632
548,57.09824
549,57.180157
550,57.262077
551,57.343998
552,57.42592
553,57.50784
554,57.58976
555,57.671677
556,57.753597
557,57.835518
558,57.91744
559,57.99936
560,58.08128
561,58.1632
562,58.245117
563,58.327038
564,58.40896
565,58.49088
566,58.5728
567,58.65472
568,58.736637
569,58.818558
570,58.90048
571,58.9824
572,59.06432
573,59.14624
574,59.228157
575,59.310078
576,59.392
577,59.47392
578,59.55584
579,59.63776
580,59.719677
581,59.801598
582,59.88352
583,59.96544
584,60.04736
585,60.12928
586,60.211197
587,60.293118
588,60.37504
589,60.45696
590,60.53888
591,60.6208
592,60.702717
593,60.784637
594,60.866558
595,60.94848
596,61.0304
597,61.11232
598,61.194237
599,61.276157
600,61.358078
601,61.44
602,61.52192
603,61.60384
604,61.685757
605,61.767677
606,61.849598
607,61.93152
608,62.01344
609,62.09536
610,62.177277
611,62.259197
612,62.341118
613,62.42304
614,62.50496
615,62.58688
616,62.668797
617,62.750717
618,62.832638
619,62.91456
620,62.99648
621,63.0784
622,63.16032
623,63.242237
624,63.324158
625,63.40608
626,63.488
