Iterations,MLUPS
0,0
1,730.5928
2,895.3425
3,944.5865
4,960.9891
5,990.1268
6,1016.2786
7,1036.0471
8,1050.9827
9,1063.135
10,1073.128
11,1081.2686
12,1088.1501
13,1094.2034
14,1099.2935
15,1103.8873
16,1107.665
17,1111.1149
18,1114.2662
19,1117.1171
20,1119.7262
21,1122.0007
22,1124.2234
23,1126.1044
24,1127.9426
25,1125.3766
26,1125.3602
27,1127.0442
28,1128.5325
29,1130.0071
30,1131.1763
31,1132.3396
32,1133.5508
33,1134.5966
34,1135.6449
35,1136.612
36,1137.5267
37,1136.0356
38,1136.923
39,1136.6729
40,1137.4569
41,1138.2314
42,1138.9521
43,1139.6876
44,1140.3777
45,1141.0039
46,1141.6476
47,1142.2115
48,1142.7837
49,1143.3167
50,1143.8644
51,1144.294
52,1144.7991
53,1145.3035
54,1145.7007
55,1146.1624
56,1146.556
57,1146.9517
58,1147.3508
59,1147.7302
60,1148.1224
61,1148.4221
62,1148.8346
63,1149.1068
64,1149.4408
65,1149.7931
66,1150.0449
67,1150.2094
68,1150.2657
69,1150.5616
70,1150.7987
71,1149.206
72,1148.826
73,1149.1083
74,1148.316
75,1148.6133
76,1147.2507
77,1145.836
78,1146.0457
79,1144.7676
80,1145.0845
81,1143.6099
82,1143.9452
83,1142.6975
84,1141.719
85,1142.0204
86,1141.8228
87,1142.154
88,1142.4558
89,1142.7927
90,1143.0839
91,1143.3993
92,1143.6676
93,1143.96
94,1144.2484
95,1144.5128
96,1144.785
97,1145.0292
98,1145.2683
99,1145.5358
100,1145.7714
101,1146.0198
102,1146.2511
103,1146.4977
104,1146.7134
105,1146.0238
106,1145.8433
107,1146.0413
108,1146.2732
109,1146.4728
110,1146.6942
111,1146.8926
112,1147.0692
113,1147.2893
114,1147.4883
115,1147.7002
116,1147.8904
117,1148.0856
118,1148.2408
119,1148.4083
120,1148.5966
121,1148.7788
122,1148.9536
123,1149.1202
124,1149.2719
125,1149.4454
126,1149.6067
127,1149.2521
128,1149.4155
129,1148.566
130,1147.6917
131,1147.8474
132,1147.0577
133,1147.221
134,1146.355
135,1146.5465
136,1145.7152
137,1145.1139
138,1145.2732
139,1144.4175
140,1144.6085
141,1143.8898
142,1144.0538
143,1143.3605
144,1142.6401
145,1142.8241
146,1142.0496
147,1142.247
148,1141.5978
149,1141.7764
150,1141.1935
151,1140.6837
152,1140.849
153,1140.1385
154,1140.3228
155,1139.6755
156,1139.8575
157,1139.3514
158,1138.7356
159,1138.913
160,1138.3636
161,1138.5493
162,1137.9545
163,1138.142
164,1137.5715
165,1136.9257
166,1137.1224
167,1136.543
168,1136.7456
169,1136.1083
170,1136.2759
171,1136.4376
172,1135.9498
173,1136.108
174,1135.5228
175,1135.7051
176,1135.2101
177,1135.407
178,1134.8517
179,1134.2993
180,1134.4624
181,1133.903
182,1134.0881
183,1133.6082
184,1133.8021
185,1133.2936
186,1132.7515
187,1132.9198
188,1132.4272
189,1132.6246
190,1132.0366
191,1132.229
192,1132.2705
193,1131.7072
194,1131.9019
195,1131.5017
196,1131.7023
197,1131.2994
198,1131.4796
199,1131.0188
200,1130.5629
201,1130.7512
202,1130.3651
203,1130.5497
204,1130.0975
205,1129.8135
206,1129.9702
207,1129.5538
208,1129.7349
209,1129.3479
210,1129.5327
211,1129.1237
212,1129.3151
213,1129.3148
214,1129.5006
215,1129.68
216,1129.8674
217,1130.0358
218,1130.2057
219,1130.3698
220,1130.5361
221,1130.7164
222,1130.8865
223,1131.0638
224,1131.2286
225,1131.397
226,1131.5574
227,1131.7163
228,1131.8878
229,1132.0509
230,1132.2129
231,1132.3729
232,1132.5262
233,1132.6823
234,1132.8358
235,1132.9982
236,1133.148
237,1133.2875
238,1133.4434
239,1133.5834
240,1133.7202
241,1133.8696
242,1134.0173
243,1134.1565
244,1134.2823
245,1134.4291
246,1134.561
247,1134.6974
248,1134.8365
249,1134.9738
250,1135.1061
251,1135.2397
252,1135.3785
253,1135.513
254,1135.6488
255,1135.776
256,1135.9093
257,1136.0416
258,1136.1649
259,1136.2993
260,1136.4241
261,1136.5555
262,1136.6764
263,1136.8085
264,1136.9308
265,1137.0513
266,1137.1621
267,1137.2778
268,1137.401
269,1137.5164
270,1137.6406
271,1137.7537
272,1137.8568
273,1137.9758
274,1138.0847
275,1138.2072
276,1138.3168
277,1138.4205
278,1138.5339
279,1138.6401
280,1138.7517
281,1138.8607
282,1138.9669
283,1139.0808
284,1139.1768
285,1139.2852
286,1139.3846
287,1139.495
288,1139.596
289,1139.7029
290,1139.7911
291,1139.896
292,1139.9971
293,1140.0923
294,1140.1956
295,1140.2891
296,1140.3916
297,1140.4814
298,1140.5826
299,1140.674
300,1140.7627
301,1140.8531
302,1140.9467
303,1141.044
304,1141.1322
305,1141.2328
306,1141.3213
307,1141.0983
308,1141.1971
309,1141.1324
310,1141.2257
311,1141.3068
312,1141.3789
313,1141.4675
314,1141.5488
315,1141.6428
316,1141.7295
317,1141.8054
318,1141.9008
319,1141.9846
320,1142.0778
321,1142.1593
322,1142.2404
323,1142.3242
324,1142.4036
325,1142.4852
326,1142.5673
327,1142.6511
328,1142.7284
329,1142.8146
330,1142.8888
331,1142.9594
332,1143.0347
333,1143.1139
334,1143.182
335,1143.2628
336,1143.3414
337,1143.4064
338,1143.4868
339,1143.5616
340,1143.6311
341,1143.7119
342,1143.7809
343,1143.8523
344,1143.9235
345,1143.99
346,1144.0669
347,1144.1367
348,1144.2148
349,1144.2847
350,1144.3556
351,1144.4283
352,1144.4957
353,1144.578
354,1144.6471
355,1144.7229
356,1144.7908
357,1144.8628
358,1144.9288
359,1144.999
360,1145.0531
361,1145.1266
362,1145.195
363,1145.2561
364,1145.3285
365,1145.3964
366,1145.4655
367,1145.5294
368,1145.5927
369,1145.6572
370,1145.7161
371,1145.7817
372,1145.8385
373,1145.9055
374,1145.9624
375,1146.0199
376,1146.0844
377,1146.143
378,1146.2067
379,1146.2559
380,1145.9808
381,1146.0496
382,1145.8177
383,1145.7411
384,1145.5289
385,1145.4357
386,1145.2549
387,1145.1786
388,1145.245
389,1145.0245
390,1144.9634
391,1145.024
392,1145.0718
393,1144.8708
394,1144.7482
395,1144.5582
396,1144.4364
397,1144.2556
398,1144.116
399,1144.0331
400,1143.8524
401,1143.751
402,1143.691
403,1143.6084
404,1143.2004
405,1141.4807
406,1141.5328
407,1141.4054
408,1141.4329
409,1141.11
410,1140.9141
411,1140.8182
412,1140.5145
413,1140.4155
414,1140.3307
415,1140.1431
416,1140.0602
417,1139.8625
418,1139.9021
419,1139.6056
420,1139.4248
421,1139.3605
422,1139.1776
423,1139.0933
424,1138.7992
425,1138.6088
426,1138.5481
427,1138.3674
428,1138.283
429,1138.1395
430,1138.0951
431,1138.0313
432,1137.8591
433,1137.793
434,1137.6073
435,1137.5332
436,1137.3103
437,1137.2754
438,1137.2247
439,1137.0615
440,1137.003
441,1136.8462
442,1136.7573
443,1136.4926
444,1136.3123
445,1136.2509
446,1136.0905
447,1136.028
448,1135.8778
449,1135.5808
450,1135.557
451,1135.4102
452,1135.3772
453,1135.2443
454,1135.1501
455,1135.0417
456,1135.0612
457,1135.013
458,1134.8478
459,1134.801
460,1134.6503
461,1134.5759
462,1134.3159
463,1134.1642
464,1134.1162
465,1133.953
466,1133.6804
467,1133.7592
468,1133.649
469,1133.4573
470,1133.5344
471,1133.335
472,1133.4064
473,1133.212
474,1133.2798
475,1133.1486
476,1133.0809
477,1133.1414
478,1132.9755
479,1133.0479
480,1132.8496
481,1132.9283
482,1132.68
483,1132.6447
484,1132.5804
485,1132.4401
486,1132.5072
487,1132.3043
488,1132.3807
489,1132.1974
490,1132.012
491,1132.0862
492,1131.9022
493,1131.975
494,1131.7637
495,1131.8357
496,1131.7765
497,1131.6539
498,1131.7289
499,1131.6117
500,1131.6844
501,1131.5763
502,1131.646
503,1131.5303
504,1131.427
505,1131.4958
506,1131.184
507,1131.2528
508,1131.1093
509,1131.1809
510,1131.1713
511,1131.2457
512,1131.3175
513,1131.3927
514,1131.4584
515,1131.5317
516,1131.6027
517,1131.6677
518,1131.7385
519,1131.8083
520,1131.8798
521,1131.947
522,1132.0084
523,1132.0774
524,1132.1461
525,1132.2172
526,1132.2844
527,1132.352
528,1132.421
529,1132.4827
530,1132.551
531,1132.6173
532,1132.6858
533,1132.7532
534,1132.6445
535,1132.6731
536,1132.6716
537,1132.707
538,1132.7703
539,1132.8315
540,1132.8981
541,1132.953
542,1132.9823
543,1133.0109
544,1133.0581
545,1133.0951
546,1133.0814
547,1133.1467
548,1133.1914
549,1133.2319
550,1133.2775
551,1133.2986
552,1133.3243
553,1133.3422
554,1133.3854
555,1133.4069
556,1133.2417
557,1133.1991
558,1133.243
559,1133.3068
560,1133.3674
561,1133.4335
562,1133.4939
563,1133.5575
564,1133.6177
565,1133.6738
566,1133.7391
567,1133.7915
568,1133.8538
569,1133.7404
570,1133.7335
571,1133.7947
572,1133.854
573,1133.9047
574,1133.9653
575,1134.0278
576,1134.0836
577,1134.1346
578,1134.1964
579,1134.2534
580,1134.3138
581,1134.3713
582,1134.3927
583,1134.4492
584,1134.505
585,1134.5638
586,1134.6198
587,1134.6786
588,1134.7346
589,1134.6287
590,1134.6838
591,1134.5211
592,1134.518
593,1134.5688
594,1134.6255
595,1134.6755
596,1134.7278
597,1134.7866
598,1134.8373
599,1134.8955
600,1134.9459
601,1135.0015
602,1134.8798
603,1134.8201
604,1134.768
605,1134.7162
606,1134.7651
607,1134.7533
608,1134.8075
609,1134.8665
610,1134.9182
611,1134.976
612,1135.0222
613,1135.0769
614,1135.1327
615,1135.1842
616,1135.2393
617,1135.2917
618,1135.3457
619,1135.3953
620,1135.4471
621,1135.5021
622,1135.5537
623,1135.6091
624,1135.6559
625,1135.71
626,1135.7599
627,1135.8064
628,1135.8582
629,1135.906
630,1135.9567
631,1136.0027
632,1136.0526
633,1136.1008
634,1136.1465
635,1136.2009
636,1136.2462
637,1136.2982
638,1136.3427
639,1136.385
640,1136.4443
641,1136.4945
642,1136.5436
643,1136.592
644,1136.4987
645,1136.5448
646,1136.5205
647,1136.579
648,1136.6233
649,1136.6735
650,1136.7211
651,1136.7727
652,1136.8177
653,1136.8638
654,1136.9126
655,1136.9585
656,1137.0076
657,1137.0511
658,1137.0983
659,1137.1464
660,1137.1935
661,1137.2378
662,1137.282
663,1137.3308
664,1137.376
665,1137.4169
666,1137.4626
667,1137.5061
668,1137.551
669,1137.5934
670,1137.6404
671,1137.6786
672,1137.7239
673,1137.7715
674,1137.807
675,1137.849
676,1137.8933
677,1137.9413
678,1137.9806
679,1138.0208
680,1138.0663
681,1138.1084
682,1138.1527
683,1138.1962
684,1138.2363
685,1138.2805
686,1138.3214
687,1138.3646
688,1138.4045
689,1138.4485
690,1138.4905
691,1138.5355
692,1138.5756
693,1138.6176
694,1138.6619
695,1138.7014
696,1138.7457
697,1138.7852
698,1138.8302
699,1138.8735
700,1138.7905
701,1138.7717
702,1138.8099
703,1138.8538
704,1138.8909
705,1138.786
706,1138.8262
707,1138.8081
708,1138.8492
709,1138.8875
710,1138.927
711,1138.9677
712,1139.0072
713,1139.049
714,1139.0865
715,1139.1289
716,1139.1661
717,1139.2075
718,1139.249
719,1139.2875
720,1139.3303
721,1139.3591
722,1139.3965
723,1139.4207
724,1139.4606
725,1139.5042
726,1139.5392
727,1139.5817
728,1139.6191
729,1139.6565
730,1139.6942
731,1139.7352
732,1139.772
733,1139.8114
734,1139.8491
735,1139.8817
736,1139.9209
737,1139.9575
738,1139.995
739,1140.0308
740,1140.0673
741,1140.102
742,1140.1371
743,1140.1725
744,1140.2095
745,1140.2451
746,1140.2848
747,1140.3204
748,1140.3564
749,1140.3906
750,1140.4258
751,1140.4861
752,1140.5209
753,1140.5596
754,1140.5892
755,1140.5156
756,1140.5513
757,1140.533
758,1140.5658
759,1140.6012
760,1140.6388
761,1140.6724
762,1140.7095
763,1140.7427
764,1140.779
765,1140.8162
766,1140.8508
767,1140.8892
768,1140.9214
769,1140.9583
770,1140.9916
771,1141.0264
772,1141.0642
773,1141.0981
774,1141.1304
775,1141.1637
776,1141.1985
777,1141.2313
778,1141.2643
779,1141.2981
780,1141.3301
781,1141.3656
782,1141.3978
783,1141.4249
784,1141.458
785,1141.4902
786,1141.5239
787,1141.5552
788,1141.5896
789,1141.6179
790,1141.6488
791,1141.6827
792,1141.7135
793,1141.7483
794,1141.7771
795,1141.8092
796,1141.8435
797,1141.8728
798,1141.9099
799,1141.9346
800,1141.9694
801,1142.0021
802,1142.0355
803,1141.9941
804,1142.0216
805,1141.9559
806,1141.9854
807,1141.9686
808,1141.9999
809,1142.0292
810,1142.0614
811,1142.0852
812,1141.9603
813,1141.9883
814,1142.017
815,1142.0491
816,1142.0762
817,1142.1068
818,1142.1381
819,1142.17
820,1142.1989
821,1142.2277
822,1142.259
823,1142.2903
824,1142.321
825,1142.3523
826,1142.3829
827,1142.4115
828,1142.4359
829,1142.4755
830,1142.5001
831,1142.5311
832,1142.5604
833,1142.5903
834,1142.6185
835,1142.6483
836,1142.6803
837,1142.7083
838,1142.7412
839,1142.7694
840,1142.8002
841,1142.8289
842,1142.8604
843,1142.8884
844,1142.9188
845,1142.9501
846,1142.9718
847,1143.001
848,1143.0282
849,1143.0574
850,1143.0864
851,1143.1156
852,1143.1466
853,1143.1722
854,1143.2017
855,1143.2289
856,1143.2562
857,1143.2883
858,1143.3153
859,1143.3428
860,1143.3684
861,1143.3898
862,1143.4208
863,1143.4474
864,1143.475
865,1143.503
866,1143.5284
867,1143.5558
868,1143.479
869,1143.517
870,1143.4952
871,1143.524
872,1143.5502
873,1143.579
874,1143.6047
875,1143.6323
876,1143.6604
877,1143.6874
878,1143.7156
879,1143.7417
880,1143.7704
881,1143.7977
882,1143.8218
883,1143.8503
884,1143.8762
885,1143.904
886,1143.9308
887,1143.9534
888,1143.9869
889,1144.013
890,1144.0408
891,1144.0675
892,1144.0963
893,1144.1215
894,1144.1469
895,1144.1744
896,1144.1998
897,1144.2272
898,1144.2517
899,1144.2798
900,1144.3041
901,1144.3303
902,1144.3563
903,1144.3813
904,1144.409
905,1144.3162
906,1144.3385
907,1144.3158
908,1144.339
909,1144.3632
910,1144.3896
911,1144.4159
912,1144.4421
913,1144.4672
914,1144.4923
915,1144.5159
916,1144.5427
917,1144.5654
918,1144.5912
919,1144.616
920,1144.6404
921,1144.6665
922,1144.6887
923,1144.5856
924,1144.6079
925,1144.6342
926,1144.658
927,1144.6799
928,1144.7064
929,1144.7296
930,1144.7563
931,1144.7794
932,1144.8014
933,1144.8258
934,1144.8475
935,1144.8705
936,1144.8951
937,1144.9191
938,1144.9415
939,1144.9612
940,1144.9868
941,1145.0101
942,1145.033
943,1145.0565
944,1145.0818
945,1145.1029
946,1145.1244
947,1145.1484
948,1145.172
949,1145.1979
950,1145.2207
951,1145.2457
952,1145.2672
953,1145.2888
