Iterations,MLUPS
0,0
1,38.058144
2,66.09537
3,87.66156
4,104.61157
5,118.42587
6,129.78062
7,139.45537
8,147.69397
9,154.71289
10,160.95775
11,166.43983
12,171.33882
13,175.72295
14,179.5898
15,183.15038
16,186.22784
17,189.151
18,191.88678
19,194.33385
20,196.71312
21,198.90332
22,200.92752
23,202.78207
24,204.5284
25,206.11296
26,207.63988
27,209.08192
28,210.42471
29,211.7266
30,212.93047
31,213.97527
32,215.06642
33,216.03233
34,216.98878
35,217.91457
36,218.77881
37,219.64166
38,220.41481
39,221.1749
40,221.88995
41,222.57878
42,223.22455
43,223.8602
44,224.47981
45,225.09346
46,225.67378
47,226.19875
48,226.73387
49,227.24767
50,227.74236
51,228.19858
52,228.6712
53,229.09866
54,229.53375
55,229.95918
56,230.37048
57,230.75294
58,231.11401
59,231.45358
60,231.81406
61,232.17264
62,232.5067
63,232.84229
64,233.10268
65,233.40596
66,233.70734
67,233.99474
68,234.28882
69,234.5798
70,234.83372
71,235.07951
72,235.31104
73,235.53221
74,235.78049
75,236.01944
76,236.27562
77,236.5132
78,236.73766
79,236.95142
80,237.18047
81,237.35904
82,237.5677
83,237.7759
84,237.96562
85,238.16136
86,238.34692
87,238.50365
88,238.68427
89,238.85384
90,239.0359
91,239.20993
92,239.37868
93,239.5254
94,239.67998
95,239.83672
96,239.9828
97,240.12753
98,240.24661
99,240.38937
100,240.51968
101,240.61163
102,240.73839
103,240.86789
104,240.9627
105,241.06512
106,241.19678
107,241.31192
108,241.4234
109,241.5358
110,241.65262
111,241.77081
112,241.88232
113,241.99736
114,242.10962
115,242.18
116,242.2921
117,242.40157
118,242.50342
119,242.60709
120,242.7012
121,242.80138
122,242.90295
123,242.99532
124,243.09058
125,243.18683
126,243.27281
127,243.3781
128,243.46498
129,243.5665
130,243.65791
131,243.7362
132,243.80595
133,243.88487
134,243.95753
135,244.04472
136,244.1091
137,244.13306
138,244.19202
139,244.26604
140,244.33766
141,244.4257
142,244.4895
143,244.53241
144,244.61142
145,244.68724
146,244.76228
147,244.83815
148,244.90706
149,244.9615
150,245.03638
151,245.10376
152,245.15659
153,245.21733
154,245.27388
155,245.31915
156,245.37527
157,245.44032
158,245.5055
159,245.5706
160,245.62112
161,245.68442
162,245.74551
163,245.80385
164,245.86491
165,245.9234
166,245.965
167,246.02405
168,246.07841
169,246.12929
170,246.18834
171,246.23347
172,246.28064
173,246.33966
174,246.39938
175,246.45668
176,246.49866
177,246.53192
178,246.58531
179,246.63919
180,246.69029
181,246.73747
182,246.78548
183,246.82878
184,246.87184
185,246.92163
186,246.97379
187,247.02304
188,247.07578
189,247.1173
190,247.16425
191,247.2108
192,247.25752
193,247.30359
194,247.34839
195,247.38126
196,247.42575
197,247.46848
198,247.50688
199,247.54607
200,247.55652
201,247.57744
202,247.61609
203,247.65535
204,247.67523
205,247.71506
206,247.73671
207,247.75702
208,247.7836
209,247.81041
210,247.84009
211,247.84055
212,247.87752
213,247.90901
214,247.94772
215,247.97455
216,248.00296
217,248.02101
218,248.05356
219,248.09119
220,248.12694
221,248.15552
222,248.18854
223,248.22559
224,248.26195
225,248.29735
226,248.32704
227,248.36807
228,248.397
229,248.43106
230,248.46188
231,248.46738
232,248.48923
233,248.52583
234,248.55106
235,248.58485
236,248.61815
237,248.65137
238,248.6847
239,248.71718
240,248.72815
241,248.74649
242,248.77908
243,248.8074
244,248.83699
245,248.86266
246,248.89218
247,248.92517
248,248.95274
249,248.98251
250,249.00667
251,249.02548
252,249.04778
253,249.0738
254,249.09877
255,249.1274
256,249.15646
257,249.15561
258,249.18085
259,249.19582
260,249.21393
261,249.23653
262,249.25763
263,249.28995
264,249.31514
265,249.33815
266,249.36284
267,249.38412
268,249.40353
269,249.42778
270,249.45488
271,249.47621
272,249.50137
273,249.52626
274,249.54335
275,249.56807
276,249.59119
277,249.61339
278,249.63766
279,249.66438
280,249.66498
281,249.68745
282,249.709
283,249.73053
284,249.75302
285,249.77414
286,249.78575
287,249.803
288,249.8208
289,249.8432
290,249.86586
291,249.88313
292,249.90671
293,249.92326
294,249.94344
295,249.96155
296,249.98701
297,249.99675
298,250.01288
299,250.03568
300,250.05501
301,250.06554
302,250.08456
303,250.10004
304,250.11472
305,250.13219
306,250.15111
307,250.1712
308,250.19331
309,250.20938
310,250.22932
311,250.24973
312,250.2682
313,250.28786
314,250.2926
315,250.30406
316,250.31851
317,250.33606
318,250.35547
319,250.37129
320,250.38484
321,250.40271
322,250.41977
323,250.43924
324,250.45839
325,250.47722
326,250.49098
327,250.50453
328,250.51822
329,250.52841
330,250.53944
331,250.55698
332,250.56825
333,250.5849
334,250.60226
335,250.61786
336,250.63187
337,250.6439
338,250.66072
339,250.6792
340,250.69449
341,250.71225
342,250.72769
343,250.7336
344,250.74402
345,250.7591
346,250.76929
347,250.78099
348,250.79318
349,250.80692
350,250.82251
351,250.83583
352,250.84962
353,250.86311
354,250.87672
355,250.88838
356,250.90453
357,250.91887
358,250.92989
359,250.94197
360,250.94514
361,250.95732
362,250.96997
363,250.98335
364,250.99747
365,251.00908
366,251.01495
367,251.02391
368,251.03484
369,251.04868
370,251.05687
371,251.06828
372,251.06723
373,251.08037
374,251.094
375,251.10442
376,251.1147
377,251.12424
378,251.13747
379,251.15114
380,251.16386
381,251.17896
382,251.1853
383,251.19313
384,251.2041
385,251.21716
386,251.22592
387,251.24109
388,251.25609
389,251.2634
390,251.27708
391,251.2865
392,251.30128
393,251.31332
394,251.32507
395,251.32991
396,251.34282
397,251.3518
398,251.36308
399,251.37357
400,251.36879
401,251.36995
402,251.38063
403,251.39313
404,251.40483
405,251.41682
406,251.4246
407,251.43489
408,251.44696
409,251.4575
410,251.47029
411,251.48228
412,251.4881
413,251.49689
414,251.50632
415,251.51224
416,251.52373
417,251.5308
418,251.52808
419,251.5384
420,251.54723
421,251.55962
422,251.57088
423,251.57654
424,251.58667
425,251.59735
426,251.59714
427,251.59694
428,251.6
429,251.60994
430,251.62094
431,251.62085
432,251.62755
433,251.63376
434,251.63823
435,251.64896
436,251.65819
437,251.66747
438,251.67894
439,251.6873
440,251.69362
441,251.70271
442,251.7122
443,251.72232
444,251.72905
445,251.73943
446,251.7463
447,251.75586
448,251.7649
449,251.77304
450,251.78326
451,251.7895
452,251.7976
453,251.80136
454,251.80533
455,251.81528
456,251.82162
457,251.82835
458,251.83842
459,251.8483
460,251.85611
461,251.86337
462,251.87286
463,251.87785
464,251.88841
465,251.89595
466,251.90456
467,251.91447
468,251.92447
469,251.9257
470,251.9355
471,251.94354
472,251.95242
473,251.96309
474,251.96756
475,251.97668
476,251.98691
477,251.99516
478,252.00334
479,252.0113
480,252.00945
481,252.01854
482,252.02098
483,252.02968
484,252.03403
485,252.04272
486,252.04071
487,252.04776
488,252.05415
489,252.06187
490,252.071
491,252.07684
492,252.08058
493,252.08737
494,252.09325
495,252.10257
496,252.11055
497,252.11388
498,252.12314
499,252.12988
500,252.13661
501,252.14088
502,252.14825
503,252.15193
504,252.15985
505,252.16484
506,252.16774
507,252.17287
508,252.17795
509,252.1869
510,252.1959
511,252.19891
512,252.203
513,252.20662
514,252.20993
515,252.2164
516,252.22357
517,252.22754
518,252.23502
519,252.24304
520,252.24756
521,252.25465
522,252.26245
523,252.27138
524,252.27959
525,252.28778
526,252.28514
527,252.29454
528,252.30339
529,252.3089
530,252.31674
531,252.32246
532,252.32945
533,252.32512
534,252.32219
535,252.3293
536,252.33717
537,252.3404
538,252.34839
539,252.35324
540,252.35898
541,252.36
542,252.36685
543,252.37039
544,252.37845
545,252.38483
546,252.3918
547,252.3999
548,252.40411
549,252.41074
550,252.4177
551,252.42232
552,252.42958
553,252.43562
554,252.43813
555,252.44429
556,252.44978
557,252.4564
558,252.46198
559,252.46791
560,252.47072
561,252.47478
562,252.47527
563,252.48178
564,252.48749
565,252.49493
566,252.49718
567,252.50217
568,252.5092
569,252.51375
570,252.51543
571,252.51866
572,252.5246
573,252.52983
574,252.53358
575,252.54036
576,252.54782
577,252.54639
578,252.55127
579,252.55708
580,252.56285
581,252.57018
582,252.5753
583,252.57939
584,252.5848
585,252.58943
586,252.59406
587,252.6002
588,252.606
589,252.6115
590,252.61383
591,252.61894
592,252.62462
593,252.6301
594,252.63298
595,252.64066
596,252.64575
597,252.64902
598,252.65228
599,252.654
600,252.6575
601,252.6564
602,252.66115
603,252.66682
604,252.67317
605,252.67961
606,252.68208
607,252.68799
608,252.69363
609,252.69846
610,252.70374
611,252.70671
612,252.71266
613,252.71948
614,252.72179
615,252.72664
616,252.73103
617,252.7324
618,252.73508
619,252.73886
620,252.74432
621,252.74928
622,252.7563
623,252.75854
624,252.7639
625,252.76717
626,252.76964
627,252.77534
628,252.78229
629,252.7812
630,252.78682
631,252.79138
632,252.795
633,252.80006
634,252.80219
635,252.80727
636,252.81299
637,252.81729
638,252.82266
639,252.82884
640,252.8282
641,252.83385
642,252.83905
643,252.8437
644,252.84918
645,252.85495
646,252.85782
647,252.86223
648,252.86794
649,252.87239
650,252.87662
651,252.88048
652,252.8826
653,252.88605
654,252.88766
655,252.88835
656,252.89368
657,252.89679
658,252.90155
659,252.9052
660,252.90967
661,252.91516
662,252.92082
663,252.92322
664,252.92593
665,252.93149
666,252.93434
667,252.9389
668,252.9433
669,252.94528
670,252.95105
671,252.95418
672,252.95969
673,252.96362
674,252.96873
675,252.97107
676,252.97491
677,252.97975
678,252.98157
679,252.98578
680,252.98842
681,252.99268
682,252.99496
683,252.9957
684,252.6398
685,252.60432
686,252.60359
687,252.60773
688,252.60971
689,252.60826
690,252.60898
691,252.61314
692,252.61679
693,252.62239
694,252.6257
695,252.62883
696,252.62471
697,252.62833
698,252.63387
699,252.6378
700,252.64316
701,252.63156
702,252.63608
703,252.64168
704,252.64343
705,252.64154
706,252.64464
707,252.65118
708,252.65292
709,252.6563
710,252.65862
711,252.6634
712,252.66603
713,252.67049
714,252.67207
715,252.67612
716,252.67976
717,252.68431
718,252.6872
719,252.69177
720,252.69684
721,252.70116
722,252.706
723,252.70966
724,252.71272
725,252.71622
726,252.72243
727,252.72774
728,252.73097
729,252.73323
730,252.73987
731,252.74324
732,252.74854
733,252.75258
734,252.75829
735,252.76161
736,252.76706
737,252.76935
738,252.771
739,252.77243
740,252.77727
741,252.77866
742,252.78139
743,252.78622
744,252.79141
745,252.79533
746,252.80075
747,252.80344
748,252.8081
749,252.8125
750,252.8174
751,252.8201
752,252.8246
753,252.82722
754,252.83293
755,252.83765
756,252.8401
757,252.84273
758,252.84451
759,252.84837
760,252.85243
761,252.85632
762,252.86133
763,252.8652
764,252.86559
765,252.86774
766,252.87036
767,252.87276
768,252.87721
769,252.88205
770,252.88416
771,252.8883
772,252.89238
773,252.89651
774,252.90068
775,252.9052
776,252.9082
777,252.9127
778,252.9166
779,252.92105
780,252.92665
781,252.92995
782,252.93422
783,252.93835
784,252.94254
785,252.94637
786,252.95192
787,252.95409
788,252.95782
789,252.96175
790,252.96555
791,252.96912
792,252.9727
793,252.97073
794,252.97177
795,252.97362
796,252.97646
797,252.97818
798,252.9815
799,252.98221
800,252.98627
801,252.98383
802,252.98808
803,252.99208
804,252.99362
805,252.99767
806,253.0011
807,253.00433
808,253.00847
809,253.01299
810,253.0143
811,253.01843
812,253.02188
813,253.02588
814,253.03024
815,253.03273
816,253.03487
817,253.03822
818,253.0415
819,253.04532
820,253.04982
821,253.04596
822,253.0508
823,253.05501
824,253.05408
825,253.0556
826,253.05858
827,253.05919
828,253.06302
829,253.06555
830,253.06903
831,253.0735
832,253.07774
833,253.07802
834,253.08183
835,253.08456
836,253.08745
837,253.09067
838,253.09218
839,253.09346
840,253.09764
841,253.10175
842,253.10547
843,253.10936
844,253.11168
845,253.11562
846,253.12025
847,253.12369
848,253.12613
849,253.1282
850,253.12737
851,253.13062
852,253.1329
853,253.13734
854,253.14081
855,253.14528
856,253.14563
857,253.14955
858,253.15286
859,253.15677
860,253.16116
861,253.16454
862,253.16411
863,253.16809
864,253.17186
865,253.17554
866,253.17805
867,253.18025
868,253.18484
869,253.18617
870,253.1889
871,253.19238
872,253.196
873,253.19836
874,253.2
875,253.20348
876,253.20676
877,253.2083
878,253.2106
879,253.21104
880,253.21387
881,253.21725
882,253.2215
883,253.22403
884,253.22804
885,253.22871
886,253.23198
887,253.23509
888,253.23886
889,253.24243
890,253.2456
891,253.24626
892,253.25017
893,253.25345
894,253.25684
895,253.25966
896,253.2609
897,253.26332
898,253.26665
899,253.26886
900,253.27177
901,253.27107
902,253.27324
903,253.2747
904,253.27727
905,253.28044
906,253.28206
907,253.28604
908,253.28688
909,253.28455
910,253.28796
911,253.29117
912,253.29285
913,253.29422
914,253.29767
915,253.30179
916,253.30405
917,253.30742
918,253.31058
919,253.31139
920,253.31372
921,253.31622
922,253.31856
923,253.32121
924,253.3241
925,253.3252
926,253.3253
927,253.32843
928,253.33115
929,253.33418
930,253.33768
931,253.3387
932,253.342
933,253.34123
934,253.34312
935,253.3474
936,253.34909
937,253.35045
938,253.35245
939,253.3551
940,253.35846
941,253.36113
942,253.36188
943,253.36533
944,253.36858
945,253.37181
946,253.37476
947,253.37804
948,253.37918
949,253.38304
950,253.38539
951,253.38863
952,253.39195
