Iterations,MLUPS
0,0
1,6.8533697
2,11.570667
3,15.033301
4,17.685406
5,19.761652
6,21.425863
7,22.825724
8,24.014313
9,25.016256
10,25.876526
11,26.620651
12,27.287891
13,27.896498
14,28.437384
15,28.92695
16,29.369434
17,29.769018
18,30.12394
19,30.450777
20,30.760672
21,31.039045
22,31.286732
23,31.524704
24,31.751877
25,31.965221
26,32.16694
27,32.353104
28,32.512733
29,32.665695
30,32.81879
31,32.96442
32,33.09748
33,33.231422
34,33.353104
35,33.47231
36,33.58654
37,33.696518
38,33.79879
39,33.897736
40,33.99055
41,34.083008
42,34.168934
43,34.24692
44,34.326073
45,34.40226
46,34.47717
47,34.546104
48,34.606968
49,34.67478
50,34.740494
51,34.802532
52,34.858437
53,34.91356
54,34.965378
55,35.01795
56,35.071274
57,35.118633
58,35.16926
59,35.217262
60,35.263702
61,35.305294
62,35.350376
63,35.393513
64,35.435055
65,35.4768
66,35.51756
67,35.552795
68,35.588226
69,35.62431
70,35.66088
71,35.69445
72,35.72678
73,35.759956
74,35.791958
75,35.81416
76,35.84215
77,35.868618
78,35.89429
79,35.924183
80,35.952232
81,35.97658
82,36.00099
83,36.024097
84,35.437614
85,35.399582
86,35.423992
87,35.452175
88,35.479176
89,35.507427
90,35.5351
91,35.560272
92,35.587234
93,35.613743
94,35.640392
95,35.66526
96,35.685524
97,35.708954
98,35.73223
99,35.755398
100,35.77816
101,35.771812
102,35.79338
103,35.803806
104,35.825306
105,35.847363
106,35.86918
107,35.89011
108,35.91056
109,35.93042
110,35.949764
111,35.967308
112,35.98427
113,36.003563
114,36.022224
115,36.039867
116,36.05504
117,36.067287
118,36.08384
119,36.101273
120,36.117565
121,36.133003
122,36.14459
123,36.15944
124,36.17297
125,36.18563
126,36.20049
127,36.215202
128,36.23012
129,36.24064
130,36.254356
131,36.267776
132,36.28095
133,36.29453
134,36.30255
135,36.314228
136,36.326668
137,36.339233
138,36.350986
139,36.360756
140,36.373524
141,36.385254
142,36.395065
143,36.40604
144,36.41601
145,36.42644
146,36.437916
147,36.4474
148,36.458443
149,36.469223
150,36.47948
151,36.488388
152,36.497467
153,36.507526
154,36.51755
155,36.52518
156,36.534935
157,36.545002
158,36.554234
159,36.56379
160,36.572422
161,36.579422
162,36.58924
163,36.5989
164,36.60851
165,36.61349
166,36.619816
167,36.62735
168,36.63604
169,36.64566
170,36.654747
171,36.663055
172,36.672108
173,36.680874
174,36.68904
175,36.69753
176,36.705387
177,36.713497
178,36.72175
179,36.72996
180,36.73804
181,36.744576
182,36.75193
183,36.76023
184,36.767254
185,36.774822
186,36.783016
187,36.790817
188,36.798866
189,36.806335
190,36.81387
191,36.821358
192,36.827393
193,36.834953
194,36.83986
195,36.843006
196,36.84928
197,36.855152
198,36.862278
199,36.869015
200,36.875614
201,36.87803
202,36.88453
203,36.891632
204,36.89486
205,36.901615
206,36.908226
207,36.914043
208,36.91948
209,36.925655
210,36.931858
211,36.93797
212,36.94353
213,36.94936
214,36.954735
215,36.957584
216,36.96295
217,36.968933
218,36.974678
219,36.98054
220,36.986385
221,36.992073
222,36.99608
223,37.002106
224,37.00814
225,37.01296
226,37.017197
227,37.019623
228,37.02476
229,37.02973
230,37.034702
231,37.039143
232,37.044342
233,37.04774
234,37.051414
235,37.055412
236,37.060734
237,37.065887
238,37.071247
239,37.076366
240,37.081345
241,37.086395
242,37.090855
243,37.09559
244,37.099335
245,37.102413
246,37.106537
247,37.110992
248,37.11556
249,37.11852
250,37.122707
251,37.127674
252,37.132065
253,37.13694
254,37.141323
255,37.14601
256,37.150196
257,37.154026
258,37.15727
259,37.15909
260,37.16308
261,37.166996
262,37.171066
263,37.17421
264,37.178524
265,37.181843
266,37.185738
267,37.18841
268,37.190968
269,37.19469
270,37.198696
271,37.202633
272,37.20654
273,37.210182
274,37.21364
275,37.217136
276,37.220867
277,37.222595
278,37.226563
279,37.230526
280,37.23435
281,37.23796
282,37.241177
283,37.244755
284,37.2481
285,37.251
286,37.254295
287,37.25766
288,37.260853
289,37.262596
290,37.264435
291,37.266712
292,37.270073
293,37.27366
294,37.2765
295,37.279938
296,37.2831
297,37.286144
298,37.289406
299,37.29299
300,37.29644
301,37.297783
302,37.301147
303,37.303753
304,37.305984
305,37.309277
306,37.312267
307,37.31541
308,37.318527
309,37.321545
310,37.324303
311,37.327354
312,37.330593
313,37.333534
314,37.33643
315,37.339375
316,37.34249
317,37.344337
318,37.34627
319,37.34904
320,37.350697
321,37.353706
322,37.355812
323,37.357933
324,37.36053
325,37.362972
326,37.3657
327,37.3685
328,37.371147
329,37.37386
330,37.376396
331,37.378735
332,37.380264
333,37.38283
334,37.385212
335,37.38784
336,37.390614
337,37.393467
338,37.396015
339,37.397915
340,37.400272
341,37.402935
342,37.4054
343,37.407806
344,37.41046
345,37.413136
346,37.414406
347,37.416645
348,37.418392
349,37.42107
350,37.422844
351,37.42484
352,37.4257
353,37.428055
354,37.430378
355,37.432667
356,37.434776
357,37.437023
358,37.438942
359,37.441013
360,37.442474
361,37.44502
362,37.44728
363,37.449577
364,37.451817
365,37.453762
366,37.45592
367,37.457058
