Iterations,MLUPS
0,0
1,6.6344905
2,11.876227
3,15.284968
4,18.857069
5,21.761658
6,24.309088
7,25.934158
8,27.957767
9,29.621658
10,31.15086
11,31.962439
12,33.203403
13,34.314095
14,35.388855
15,36.315468
16,35.69003
17,36.491093
18,36.914063
19,37.63871
20,38.299103
21,38.91272
22,39.138145
23,39.70883
24,40.220257
25,40.712517
26,40.49752
27,41.01198
28,41.434273
29,41.801163
30,41.881557
31,42.287663
32,42.63598
33,42.95355
34,43.299145
35,43.60143
36,43.8823
37,44.15537
38,43.92108
39,44.217113
40,44.4506
41,44.70417
42,44.699215
43,44.952133
44,45.191853
45,45.41664
46,45.622036
47,45.80769
48,46.01449
49,46.18788
50,45.96277
51,46.15898
52,46.32998
53,46.501633
54,46.449203
55,46.629505
56,46.780487
57,46.936073
58,47.0833
59,47.20818
60,47.35429
61,47.48946
62,47.273716
63,47.37845
64,47.50909
65,47.63369
66,47.62351
67,47.689667
68,47.816456
69,47.926693
70,47.913742
71,48.01372
72,48.115505
73,48.22991
74,48.204136
75,48.29665
76,48.40004
77,48.48144
78,48.46483
79,48.546913
80,48.64025
81,48.733746
82,48.711906
83,48.774517
84,48.86275
85,48.947414
86,48.91556
87,48.974674
88,49.05657
89,49.14292
90,49.119976
91,49.16382
92,49.249603
93,49.330532
94,49.28138
95,49.33743
96,49.409714
97,49.49138
98,49.45076
99,49.51776
100,49.58596
101,49.65243
102,49.609913
103,49.656647
104,49.734283
105,49.796833
106,49.768967
107,49.810658
108,49.845215
109,49.919632
110,49.901684
111,49.93405
112,49.99393
113,50.049595
114,50.01228
115,50.069187
116,50.12228
117,50.17685
118,50.14937
119,50.180866
120,50.235943
121,50.286594
122,50.246872
123,50.32897
124,50.3707
125,50.407173
126,50.460754
127,50.52067
128,50.568886
129,50.613834
130,50.56359
131,50.606285
132,50.65011
133,50.698814
134,50.64289
135,50.696293
136,50.74512
137,50.78916
138,50.820038
139,50.839096
140,50.87621
141,50.91281
142,50.95368
143,50.896526
144,50.933685
145,50.97279
146,51.012287
147,50.96903
148,51.005013
149,51.043125
150,51.08051
151,51.044136
152,51.059273
153,51.09679
154,51.136703
155,51.10977
156,51.13545
157,51.168808
158,51.205338
159,51.171284
160,51.20257
161,51.23652
162,51.271183
163,51.241642
164,51.258488
165,51.291927
166,51.325768
167,51.300236
168,51.318302
169,51.34733
170,51.37328
171,51.34405
172,51.373264
173,51.403793
174,51.435463
175,51.40696
176,51.425053
177,51.455177
178,51.485573
179,51.457375
180,51.474464
181,51.504375
182,51.53304
183,51.507248
184,51.521988
185,51.550716
186,51.578743
187,51.552025
188,51.567627
189,51.597263
190,51.614353
191,51.584373
192,51.602413
193,51.631676
194,51.66201
195,51.630104
196,51.653683
197,51.680717
198,51.70392
199,51.66784
200,51.691765
201,51.703976
202,51.591724
203,51.621014
204,51.65062
205,51.67562
206,51.575447
207,51.59819
208,51.628845
209,51.650936
210,51.538895
211,51.563213
212,51.58181
213,51.60624
214,51.577732
215,51.594124
216,51.617996
217,51.646786
218,51.534203
219,51.556747
220,51.586136
221,51.55497
222,51.570843
223,51.601173
224,51.625072
225,51.59316
226,51.61466
227,51.638016
228,51.65982
229,51.57247
230,51.59523
231,51.618362
232,51.63985
233,51.55289
234,51.57178
235,51.59872
236,51.62127
237,51.584824
238,51.610195
239,51.630157
240,51.64968
241,51.617004
242,51.63978
243,51.66556
244,51.681293
245,51.64374
246,51.661865
247,51.681393
248,51.701366
249,51.67685
250,51.68822
251,51.70728
252,51.729218
253,51.707314
254,51.720943
255,51.744083
256,51.7647
257,51.745625
258,51.751957
259,51.77392
260,51.794693
261,51.769222
262,51.78499
263,51.804497
264,51.823917
265,51.621967
266,51.638603
267,51.658337
268,51.63578
269,51.648457
270,51.66937
271,51.688297
272,51.666878
273,51.693203
274,51.711212
275,51.729397
276,51.748714
277,51.764847
278,51.784893
279,51.798546
280,51.726215
281,51.74942
282,51.768135
283,51.785862
284,51.750885
285,51.779095
286,51.79706
287,51.814785
288,51.784645
289,51.802925
290,51.820007
291,51.833176
292,51.805782
293,51.824593
294,51.840458
295,51.858757
296,51.82733
297,51.841602
298,51.85887
299,51.87559
300,51.85865
301,51.87973
302,51.8461
303,51.850132
304,51.855267
305,51.876858
306,51.892868
307,51.874546
308,51.89804
309,51.91316
310,51.927227
311,51.94346
312,51.922005
313,51.93142
314,51.947216
315,51.96325
316,51.94317
317,51.95834
318,51.974274
319,51.98949
320,51.974392
321,51.989937
322,52.00607
323,52.020702
324,51.99685
325,52.014683
326,52.02948
327,52.043266
328,52.01675
329,52.02228
330,52.03186
331,52.048218
332,52.03866
333,52.055565
334,52.069912
335,52.08375
336,52.056744
337,52.074303
338,52.0875
339,52.103127
340,52.076347
341,52.09246
342,52.10787
343,52.12138
344,52.094524
345,52.114273
346,52.123714
347,52.137127
348,52.108597
349,52.13079
350,52.144787
351,52.15803
352,52.130352
353,52.13648
354,52.150154
355,52.163654
356,52.146408
357,52.15408
358,52.16422
359,52.17721
360,52.16364
361,52.179897
362,52.191925
363,52.204216
364,52.17798
365,52.1856
366,52.19868
367,52.21092
368,52.194912
369,52.200474
370,52.2133
371,52.228348
372,52.210606
373,52.218426
374,52.23017
375,52.246357
376,52.228428
377,52.233837
378,52.249928
379,52.262165
380,52.245823
381,52.24881
382,52.26112
383,52.274082
384,52.258526
385,52.263607
386,52.276897
387,52.28708
388,52.2254
389,52.236607
390,52.2476
391,52.25595
392,52.232758
393,52.24232
394,52.254654
395,52.26638
396,52.240456
397,52.24629
398,52.258278
399,52.270046
400,52.251827
401,52.256966
402,52.26728
403,52.280907
404,52.261322
405,52.27542
406,52.287266
407,52.263218
408,52.27844
409,52.28762
410,52.30044
411,52.310246
412,52.295692
413,52.302246
414,52.314728
415,52.32603
416,52.31229
417,52.316456
418,52.322044
419,52.33592
420,52.320854
421,52.3302
422,52.341694
423,52.35253
424,52.337017
425,52.34379
426,52.353947
427,52.36474
428,52.35115
429,52.35663
430,52.367233
431,52.37811
432,52.362522
433,52.367054
434,52.37823
435,52.38771
436,52.373184
437,52.381508
438,52.39191
439,52.402386
440,52.387486
441,52.393646
442,52.403267
443,52.412617
444,52.394585
445,52.40573
446,52.41601
447,52.426083
448,52.410553
449,52.41629
450,52.42674
451,52.437508
452,52.422375
453,52.42542
454,52.434776
455,52.4443
456,52.426678
457,52.43824
458,52.451588
459,52.459053
460,52.43618
461,52.447025
462,52.458496
463,52.468815
464,52.4469
465,52.462208
466,52.472076
467,52.48169
468,52.48907
469,52.49956
470,52.508606
471,52.516373
472,52.471878
473,52.449017
474,52.45625
475,52.43228
476,52.4381
477,52.44382
478,52.455807
479,52.441666
480,52.447807
481,52.459385
482,52.46862
483,52.420982
484,52.431484
485,52.44052
486,52.4523
487,52.40158
488,52.417274
489,52.426342
490,52.435814
491,52.41535
492,52.419075
493,52.428207
494,52.43744
495,52.42536
496,52.429703
497,52.43867
498,52.447968
499,52.435604
500,52.439754
501,52.447308
502,52.45801
503,52.44332
504,52.450146
505,52.457123
506,52.46805
507,52.45652
508,52.46011
509,52.468918
510,52.477264
511,52.46632
512,52.47004
513,52.47873
514,52.487812
515,52.47607
516,52.47981
517,52.488724
518,52.497307
519,52.485714
520,52.489704
521,52.498035
522,52.50665
523,52.49545
524,52.49913
525,52.507416
526,52.51621
527,52.50437
528,52.41695
529,52.42389
530,52.412273
531,52.426594
532,52.435204
533,52.44446
534,52.42552
535,52.434032
536,52.4429
537,52.451454
538,52.43208
539,52.436417
540,52.44431
541,52.45501
542,52.439533
543,52.447643
544,52.455826
545,52.46464
546,52.452137
547,52.45429
548,52.46354
549,52.47092
550,52.45914
551,52.466576
552,52.474533
553,52.482662
554,52.47142
555,52.47556
556,52.48354
557,52.461422
558,52.468853
559,52.476753
560,52.4845
561,52.447502
562,52.454254
563,52.461716
564,52.469997
565,52.456184
566,52.46177
567,52.4712
568,52.475193
569,52.439953
570,52.447235
571,52.45644
572,52.462864
573,52.42427
574,52.43381
575,52.440693
576,52.446793
577,52.43076
578,52.434513
579,52.44152
580,52.44995
581,52.439194
582,52.445885
583,52.45354
584,52.461285
585,52.451534
586,52.461487
587,52.468998
588,52.47544
589,52.481785
590,52.490536
591,52.500317
592,52.50704
593,52.464664
594,52.468647
595,52.4759
596,52.48367
597,52.47345
598,52.48032
599,52.487675
600,52.495193
601,52.484352
602,52.488285
603,52.49574
604,52.501163
605,52.49315
606,52.496624
607,52.503998
608,52.512142
609,52.50203
610,52.504124
611,52.51147
612,52.520035
613,52.510166
614,52.513252
615,52.51798
616,52.52814
617,52.51657
618,52.520973
619,52.52797
620,52.53526
621,52.525486
622,52.527817
623,52.53271
624,52.541435
625,52.531612
626,52.536648
627,52.544075
628,52.54977
629,52.54
630,52.549694
631,52.55708
632,52.56472
633,52.548576
634,52.555874
635,52.56248
636,52.569332
637,52.554455
638,52.563507
639,52.56897
640,52.57669
641,52.583218
642,52.5903
643,52.59759
644,52.607075
645,52.56888
646,52.577415
647,52.586807
648,52.591145
649,52.57555
650,52.586903
651,52.59389
652,52.600666
653,52.583614
654,52.594177
655,52.59774
656,52.607395
657,52.59229
658,52.601063
659,52.607594
660,52.61441
661,52.62096
662,52.626186
663,52.63434
664,52.640926
665,52.626205
666,52.632755
667,52.637413
668,52.64743
669,52.610054
670,52.62129
