Iterations,MLUPS
0,0
1,1401.1605
2,1727.0558
3,1878.9453
4,2028.644
5,2099.268
6,2153.9175
7,2157.5374
8,2160.204
9,2145.8252
10,2158.9382
11,2198.011
12,2208.5254
13,2194.324
14,2193.5747
15,2174.9482
16,2170.6
17,2162.398
18,2163.7793
19,2143.9417
20,2133.8213
21,2122.4573
22,2099.116
23,2094.815
24,2098.7502
25,2114.3145
26,2118.9668
27,2129.6418
28,2131.2695
29,2133.5427
30,2144.4722
31,2144.9526
32,2157.7559
33,2167.6726
34,2168.435
35,2172.6453
36,2182.717
37,2192.9556
38,2190.5166
39,2192.6953
40,2204.795
41,2217.093
42,2215.8496
43,2215.0112
44,2219.7126
45,2227.2966
46,2224.3872
47,2227.8901
48,2239.565
49,2240.1282
50,2244.267
51,2244.7703
52,2243.9065
53,2247.153
54,2244.2512
55,2245.9893
56,2255.773
57,2254.0413
58,2257.023
59,2259.5906
60,2259.025
61,2263.5596
62,2262.1843
63,2257.9038
64,2261.9854
65,2260.7502
66,2261.6733
67,2271.5005
68,2280.5146
69,2281.0422
70,2282.5908
71,2287.0085
72,2288.3552
73,2293.706
74,2294.1204
75,2294.8577
76,2294.894
77,2296.874
78,2296.097
79,2297.264
80,2300.97
81,2302.043
82,2299.6736
83,2299.5784
84,2299.9392
85,2300.2798
86,2300.0854
87,2304.665
88,2307.0188
89,2305.281
90,2305.0605
91,2307.152
92,2305.404
93,2307.839
94,2307.8904
95,2310.4897
96,2314.833
97,2311.9375
98,2311.7974
99,2315.081
100,2314.824
101,2314.658
102,2313.6401
103,2317.9307
104,2318.558
105,2318.7778
106,2320.8586
107,2314.5496
108,2317.097
109,2316.0352
110,2318.2866
111,2317.417
112,2320.016
113,2321.3953
114,2321.606
115,2322.35
116,2324.9526
117,2324.966
118,2325.905
119,2327.112
120,2326.5486
121,2325.6367
122,2325.7175
123,2327.7236
124,2326.1067
125,2325.783
126,2329.025
127,2330.104
128,2332.0918
129,2332.2314
130,2334.1494
131,2332.0984
132,2332.1226
133,2333.3906
134,2335.9253
135,2338.595
136,2334.5864
137,2333.849
138,2334.2349
139,2333.2593
140,2330.854
141,2331.8076
142,2331.3418
143,2332.1575
144,2332.855
145,2339.0261
146,2341.7302
147,2343.3635
148,2344.7073
149,2343.2754
150,2345.8633
151,2348.7312
152,2344.7139
153,2345.465
154,2347.1282
155,2348.8457
156,2348.504
157,2346.4963
158,2347.2566
159,2349.503
160,2349.0403
161,2349.1514
162,2350.0513
163,2348.2312
164,2347.5796
165,2347.3086
166,2350.3801
167,2351.303
168,2352.3394
169,2351.7373
170,2350.7283
171,2351.1465
172,2350.9192
173,2352.3396
174,2353.9622
175,2355.394
176,2356.9119
177,2356.577
178,2357.2593
179,2354.624
180,2355.85
181,2355.1174
182,2357.2537
183,2360.2876
184,2360.5598
185,2360.3442
186,2359.8296
187,2358.5586
188,2358.653
189,2359.9373
190,2360.472
191,2362.928
192,2363.5654
193,2363.4966
194,2362.8755
195,2363.4917
196,2363.3423
197,2364.3792
198,2361.864
199,2361.9202
200,2360.9976
201,2360.099
202,2358.1008
203,2359.343
204,2359
205,2357.8162
206,2360.0374
207,2360.768
208,2361.0676
209,2359.5903
210,2359.282
211,2358.428
212,2358.3972
213,2359.0127
214,2360.0442
215,2360.4626
216,2360.081
217,2359.8406
218,2359.778
219,2359.5225
220,2360.2527
221,2360.6692
222,2361.8706
223,2362.5166
224,2363.1675
225,2362.7554
226,2366.3618
227,2368.8967
228,2368.8794
229,2369.3928
230,2368.8623
231,2369.6013
232,2371.9053
233,2371.0493
234,2371.2656
235,2370.2898
236,2370.7676
237,2369.8315
238,2369.4482
239,2369.5928
240,2370.262
241,2370.4385
242,2371.2065
243,2371.2805
244,2372.1377
245,2373.2698
246,2373.4526
247,2373.3652
248,2374.261
249,2374.6462
250,2374.2056
251,2373.7507
252,2374.2278
253,2373.9404
254,2374.235
255,2372.8625
256,2373.2905
257,2372.2966
258,2371.9653
259,2371.4285
260,2371.8042
261,2371.834
262,2371.3198
263,2372.0962
264,2371.42
265,2370.671
266,2370.6724
267,2370.4895
268,2370.6013
269,2370.5603
270,2371.8044
271,2372.0251
272,2371.3882
273,2371.843
274,2371.3416
275,2370.477
276,2370.8982
277,2369.687
278,2371.0002
279,2372.5085
280,2371.9604
281,2371.8333
282,2372.5466
283,2372.8416
284,2373.1816
285,2372.9067
286,2373.7832
287,2374.3418
288,2374.34
289,2372.6199
290,2371.2764
291,2371.8992
292,2372.4578
293,2373.2627
294,2372.8477
295,2373.6597
296,2373.886
297,2373.463
298,2374.4038
299,2374.8938
300,2375.0645
301,2374.5598
302,2374.7485
303,2376.1604
304,2374.989
305,2374.488
306,2373.5515
307,2376.4119
308,2377.424
309,2376.1614
310,2376.3708
311,2375.469
312,2376.3135
313,2376.4805
314,2374.6309
315,2374.2197
316,2374.091
317,2373.861
318,2374.3457
319,2375.4128
320,2376.0757
321,2375.839
322,2374.88
323,2374.3335
324,2375.527
325,2374.8845
326,2375.2363
327,2374.5894
328,2375.057
329,2374.5457
330,2374.1853
331,2374.0527
332,2374.4812
333,2374.7354
334,2373.5208
335,2374.6663
336,2376.1038
337,2375.5117
338,2375.4226
339,2375.7417
340,2375.2754
341,2374.0317
342,2373.7678
343,2374.858
344,2375.5754
345,2375.5295
346,2375.7485
347,2375.778
348,2376.209
349,2375.2554
350,2375.9277
351,2377.065
352,2377.5176
353,2377.722
354,2377.0164
355,2377.3552
356,2376.8623
357,2376.0322
358,2376.01
359,2377.0894
360,2377.737
361,2377.4072
362,2378.094
363,2378.4832
364,2378.4844
365,2378.0088
