Iterations,MLUPS
0,0
1,53.38235
2,96.20873
3,130.69086
4,154.582
5,166.87062
6,186.83548
7,200.57518
8,206.24341
9,219.70555
10,231.96967
11,233.50914
12,240.31906
13,249.46693
14,248.47006
15,256.589
16,264.31857
17,262.34503
18,268.81393
19,274.8533
20,272.93735
21,278.43106
22,283.38593
23,280.6086
24,285.42725
25,289.73892
26,287.26874
27,291.35114
28,295.15338
29,290.52698
30,294.18286
31,297.51205
32,296.18243
33,299.34384
34,301.71445
35,299.7129
36,302.91138
37,305.66583
38,303.76593
39,306.4828
40,308.48068
41,307.15146
42,308.00708
43,310.31192
44,308.8343
45,309.77313
46,312.11127
47,308.76785
48,310.42767
49,312.50107
50,309.04196
51,311.07434
52,312.9165
53,310.054
54,312.02103
55,313.73715
56,312.24118
57,313.99738
58,314.49728
59,313.29636
60,314.96335
61,316.4643
62,315.04416
63,314.93484
64,316.61844
65,314.7692
66,316.40628
67,317.87112
68,316.42487
69,317.8201
70,319.23804
71,316.6223
72,318.01563
73,319.34125
74,317.32727
75,318.54135
76,319.90536
77,317.84
78,319.1587
79,319.8689
80,318.617
81,319.9527
82,321.0968
83,319.98483
84,321.1806
85,322.05994
86,321.1129
87,322.1332
88,323.1567
89,322.05573
90,321.9929
91,323.0701
92,320.56256
93,321.707
94,322.7465
95,321.53738
96,322.57095
97,323.63538
98,322.08914
99,323.0426
100,324.08072
101,322.97806
102,323.76584
103,323.75668
104,324.6232
105,325.56146
106,324.60645
107,325.5095
108,325.69775
109,324.85986
110,325.77545
111,326.536
112,325.7838
113,326.12387
114,326.81772
115,326.01862
116,326.20938
117,327.06778
118,325.95557
119,326.673
120,327.45428
121,326.0955
122,326.87558
123,327.6953
124,326.39627
125,327.17484
126,327.96692
127,326.79608
128,327.5293
129,327.77045
130,326.96548
131,327.6929
132,327.7754
133,327.04736
134,327.71198
135,328.4972
136,327.80447
137,327.78915
138,328.52444
139,327.14755
140,327.83844
141,328.43735
142,327.4185
143,328.08496
144,328.75754
145,327.51794
146,328.15143
147,328.83972
148,327.66855
149,328.3515
150,328.26105
151,327.55148
152,328.1874
153,328.72177
154,328.18903
155,328.68826
156,329.28488
157,328.6464
158,328.5371
159,329.15408
160,327.94083
161,328.54608
162,329.1367
163,328.33417
164,328.93723
165,329.5291
166,328.94394
167,329.50034
168,330.0692
169,328.92474
170,329.47192
171,330.03403
172,329.39502
173,329.96555
174,330.16388
175,329.52405
176,329.99988
177,329.98102
178,329.39825
179,329.30652
180,329.84332
181,329.136
182,329.69064
183,330.2054
184,329.51395
185,330.05954
186,330.52115
187,329.55774
188,330.0585
189,330.57712
190,330.0893
191,330.6174
192,331.04028
193,330.44226
194,330.90057
195,331.3867
196,330.77597
197,331.24072
198,331.70734
199,331.07117
200,331.46823
201,331.4386
202,330.90057
203,331.40918
204,331.79636
205,332.23184
206,332.6961
207,332.0852
208,332.52496
209,332.99454
210,332.4322
211,332.85718
212,333.3198
213,332.61536
214,333.05707
215,332.83234
216,332.28635
217,332.74655
218,333.06952
219,332.37454
220,332.70456
221,333.1181
222,332.60165
223,332.99387
224,333.37756
225,332.79868
226,333.21704
227,333.6428
228,333.10764
229,333.4557
230,333.8983
231,333.3898
232,333.82742
233,334.22513
234,333.40894
235,333.8221
236,334.2112
237,333.67892
238,334.0614
239,334.444
240,333.82172
241,334.21564
242,334.6056
243,334.12222
244,334.51642
245,334.8922
246,334.341
247,334.72485
248,334.8656
249,334.45465
250,334.8066
251,334.79272
252,334.37488
253,334.2456
254,334.5851
255,333.8089
256,334.14493
257,334.49615
258,333.8445
259,334.22034
260,334.558
261,333.87238
262,334.16757
263,334.49533
264,334.54663
265,334.89896
266,334.41522
267,334.75723
268,335.12488
269,334.25958
270,334.60248
271,334.9599
272,334.57123
273,334.86252
274,335.18985
275,334.54648
276,334.70175
277,334.82486
278,334.44064
279,334.76788
280,335.0142
281,334.60608
282,334.95514
283,335.04883
284,334.57535
285,334.71216
286,335.04108
287,334.65573
288,334.7129
289,335.05573
290,334.55377
291,334.83798
292,335.17465
293,334.51486
294,334.86374
295,335.1731
296,334.69455
297,335.00143
298,335.3466
299,334.51215
300,334.8067
301,334.78937
302,334.3864
303,334.7102
304,334.98984
305,334.65387
306,334.92477
307,335.23175
308,334.8906
309,335.1048
310,335.42136
311,335.05173
312,335.175
313,335.47064
314,334.8082
315,335.11697
316,335.4001
317,334.91608
318,335.2169
319,335.50677
320,334.97614
321,335.26556
322,335.55417
323,335.1752
324,335.46002
325,335.76196
326,335.34464
327,335.6322
328,335.90286
329,335.5878
330,335.79443
331,335.8933
332,335.55695
333,335.4749
334,335.72702
335,335.4111
336,335.4855
337,335.76978
338,336.043
339,336.2345
340,335.92734
341,336.1878
342,336.4158
343,336.04446
344,336.32672
345,336.30194
346,336.00873
347,335.95435
348,336.20578
349,335.88675
350,336.13773
351,336.3837
352,335.98578
353,336.26184
354,336.5399
355,336.13528
356,336.35162
357,336.63025
358,336.11343
359,336.40848
360,336.6619
361,336.3221
362,336.5706
363,336.83966
364,336.3322
365,336.57852
366,336.83856
367,336.49054
368,336.76608
369,336.99237
370,336.7041
371,336.92966
372,337.08328
373,336.75558
374,337.0053
375,337.06866
376,336.8164
377,336.85272
378,337.07373
379,336.7912
380,336.81418
381,337.06912
382,336.50543
383,336.76398
384,336.98837
385,336.50287
386,336.77496
387,337.01224
388,336.73535
389,336.96527
390,337.20126
391,336.56854
392,336.7806
393,337.03564
394,336.52002
395,336.7643
396,336.8578
397,336.55936
398,336.78885
399,336.74615
400,336.46942
401,336.3916
402,336.06226
403,336.01984
404,336.2563
405,335.97998
406,335.99554
407,336.2383
408,335.92072
409,336.1238
410,336.35336
411,335.89868
412,336.1521
413,336.3724
414,335.91437
415,336.15512
416,336.3711
417,335.9054
418,336.12674
419,336.20825
420,335.91534
421,336.13184
422,336.3159
423,336.01114
424,336.2463
425,336.41605
426,336.18393
427,336.3901
428,336.60452
429,336.3372
430,336.54044
431,336.7865
432,336.5216
433,336.687
434,336.90118
435,336.6151
436,336.63126
437,336.86536
438,336.38712
439,336.5866
440,336.80066
441,336.5389
442,336.74423
443,336.94156
444,336.71255
445,336.91525
446,337.11084
447,336.61203
448,336.80957
449,337.01746
450,336.67972
451,336.87164
452,337.04684
453,336.76413
454,336.96167
455,337.00735
456,336.75174
457,336.95032
458,337.11328
459,336.89523
460,336.98367
461,337.16968
462,337.3924
463,337.58398
464,337.23105
465,337.43396
466,337.62335
467,337.35815
468,337.5195
469,337.71637
470,337.45694
471,337.6351
472,337.56915
473,337.35245
474,337.52655
475,337.7223
476,337.47186
477,337.47885
478,337.66788
479,337.36874
480,337.4951
481,337.69467
482,337.40707
483,337.6076
484,337.78967
485,337.53622
486,337.71823
487,337.90442
488,337.6332
489,337.83072
490,338.01834
491,337.6272
492,337.7985
493,338.00058
494,337.7215
495,337.902
496,338.08722
497,337.8032
498,337.99234
499,337.97067
500,337.73523
501,337.91605
502,337.92383
503,338.09048
504,338.27716
505,337.8875
506,338.06827
507,338.2536
508,337.93814
509,338.1214
510,338.21628
511,337.9578
512,338.1326
513,338.15375
514,337.9523
515,338.1005
516,338.25565
517,338.01892
518,337.9624
519,338.1685
520,337.74295
521,337.93344
522,338.10538
523,337.845
524,338.0124
525,338.19388
526,337.84537
527,338.0212
528,338.19174
529,337.84482
530,338.00824
531,338.04385
532,337.81104
533,337.99252
534,338.0359
535,337.83997
536,337.9859
537,338.17255
538,337.96115
539,338.05505
540,338.2181
541,337.99344
542,337.9516
543,338.13217
544,337.78906
545,337.9237
546,338.1104
547,337.78122
548,337.95737
549,338.12482
550,337.91336
551,338.06564
552,338.23782
553,337.91046
554,338.08105
555,338.25018
556,338.02176
557,338.18857
558,338.35306
559,338.12582
560,338.2714
561,338.30807
562,338.10492
563,338.26263
564,338.3053
565,338.12027
566,338.25668
567,338.4241
568,338.21695
569,338.3251
570,338.48077
571,338.2572
572,338.23483
573,338.42346
574,338.03424
575,338.20032
576,338.35715
577,338.1189
578,338.27853
579,338.44464
580,338.11325
581,338.2617
582,338.42233
583,338.09238
584,338.2457
585,338.26797
586,338.05344
587,338.21017
588,338.21393
589,338.0207
590,338.13556
591,338.28806
592,338.0842
593,338.21445
594,338.35342
595,338.1589
596,338.16235
597,338.34665
598,337.98618
599,338.12762
600,338.28207
601,337.99326
602,338.1541
603,338.30597
604,338.09814
605,338.24936
606,338.40826
607,338.13943
608,338.2905
609,338.44437
610,338.10617
611,338.24353
612,338.3447
