Iterations,MLUPS
0,0
1,1.4019163
2,2.555225
3,3.5274818
4,4.3620753
5,4.898414
6,5.5192637
7,6.0767226
8,6.568635
9,7.00013
10,7.382731
11,7.7507796
12,8.074741
13,8.156219
14,8.446844
15,8.655024
16,8.896666
17,9.03152
18,9.234508
19,9.4150715
20,9.603372
21,9.684329
22,9.84398
23,9.991515
24,10.121347
25,10.187409
26,10.30734
27,10.420474
28,10.541944
29,10.5814905
30,10.679008
31,10.77266
32,10.870121
33,10.899146
34,10.990724
35,11.06598
36,11.077888
37,11.142087
38,11.224371
39,11.296133
40,11.318815
41,11.388308
42,11.452116
43,11.513122
44,11.577055
45,11.591159
46,11.641949
47,11.696413
48,11.749872
49,11.753625
50,11.815869
51,11.857832
52,11.912839
53,11.905812
54,11.945644
55,11.988449
56,12.020846
57,12.019666
58,12.069591
59,12.105531
60,12.151253
61,12.185594
62,12.219403
63,12.260727
64,12.256536
65,12.241295
66,12.272335
67,12.302486
68,12.342352
69,12.369646
70,12.398057
71,12.426652
72,12.458434
73,12.45214
74,12.479227
75,12.507053
76,12.5337305
77,12.519439
78,12.550309
79,12.573821
80,12.591548
81,12.547964
82,12.571011
83,12.594693
84,12.620293
85,12.645876
86,12.6688595
87,12.691146
88,12.707495
89,12.664428
90,12.6849
91,12.705152
92,12.731723
93,12.708926
94,12.739266
95,12.759129
96,12.778877
97,12.761661
98,12.785681
99,12.805774
100,12.823014
101,12.840126
102,12.85474
103,12.876959
104,12.887597
105,12.881447
106,12.89764
107,12.913128
108,12.93046
109,12.916169
110,12.934275
111,12.949523
112,12.964921
113,12.952151
114,12.969292
115,12.983129
116,12.997871
117,12.984631
118,13.000169
119,13.01423
120,13.025106
121,12.986578
122,13.004856
123,13.015741
124,13.029877
125,13.006324
126,13.022469
127,13.037314
128,13.05165
129,13.036149
130,13.053977
131,13.06332
132,13.078021
133,13.07797
134,13.086739
135,13.098607
136,13.108023
137,13.094168
138,13.103439
139,13.114928
140,13.126301
141,13.098631
142,13.110786
143,13.121074
144,13.131569
145,13.116256
146,13.13442
147,13.145086
148,13.1555605
149,13.165691
150,13.172992
151,13.186045
152,13.197093
153,13.1846
154,13.197016
155,13.204891
156,13.216082
157,13.2043495
158,13.208287
159,13.217973
160,13.227272
161,13.196719
162,13.214264
163,13.221521
164,13.231789
165,13.239037
166,13.247631
167,13.256341
168,13.2665615
169,13.233223
170,13.247326
171,13.256024
172,13.26513
173,13.253683
174,13.260099
175,13.270469
176,13.280641
177,13.268211
178,13.276314
179,13.27818
180,13.289184
181,13.279372
182,13.291605
183,13.298601
184,13.307593
185,13.293727
186,13.299672
187,13.306895
188,13.317621
189,13.308761
190,13.320676
191,13.326602
192,13.335412
193,13.3255415
194,13.331625
195,13.338168
196,13.3469
197,13.334126
198,13.344949
199,13.348605
200,13.355252
201,13.345864
202,13.358438
203,13.364562
204,13.371921
205,13.359118
206,13.368353
207,13.376959
208,13.38369
209,13.372928
210,13.3811655
211,13.387852
212,13.394227
213,13.384096
214,13.389807
215,13.395885
216,13.402534
217,13.408444
218,13.417406
219,13.4235
220,13.424774
221,13.419442
222,13.426018
223,13.433151
224,13.439176
225,13.415778
226,13.421926
227,13.428087
228,13.433888
229,13.437729
230,13.44596
231,13.450904
232,13.455818
233,13.432616
234,13.4404125
235,13.433102
236,13.431226
237,13.438827
238,13.44308
239,13.449414
240,13.455647
241,13.449716
242,13.45755
243,13.462909
244,13.46809
245,13.457586
246,13.464483
247,13.469767
248,13.475233
249,13.480725
250,13.485834
251,13.492273
252,13.495635
253,13.502249
254,13.50816
255,13.512447
256,13.517688
257,13.511323
258,13.514773
259,13.519734
260,13.524625
261,13.503715
262,13.508869
263,13.513839
264,13.51872
265,13.509994
266,13.516086
267,13.520141
268,13.525437
269,13.503744
270,13.510053
271,13.514835
272,13.519618
273,13.523825
274,13.527638
275,13.532297
276,13.538181
277,13.52955
278,13.534577
279,13.538207
280,13.543928
281,13.536776
282,13.537413
283,13.541848
284,13.546333
285,13.542105
286,13.545957
287,13.551471
288,13.555997
289,13.547885
290,13.553479
291,13.557475
292,13.561286
293,13.55414
294,13.557407
295,13.561989
296,13.567088
297,13.545796
298,13.552798
299,13.555865
300,13.561523
301,13.553325
302,13.554513
303,13.561986
304,13.566709
305,13.557467
306,13.5619
307,13.5678215
308,13.572034
309,13.564186
310,13.568966
311,13.572885
312,13.576827
313,13.569378
314,13.574109
315,13.5775
316,13.580701
317,13.572651
318,13.5791025
319,13.582935
320,13.586938
321,13.575722
322,13.578941
323,13.582706
324,13.583627
325,13.568295
326,13.574566
327,13.577509
328,13.58258
329,13.575659
330,13.580686
331,13.5840025
332,13.587702
333,13.590323
334,13.59545
335,13.5976715
336,13.6022215
337,13.595038
338,13.59883
339,13.602398
340,13.605056
341,13.58894
342,13.59336
343,13.596904
344,13.599568
345,13.592528
346,13.597721
347,13.601142
348,13.60512
349,13.598243
350,13.602148
351,13.604887
352,13.609063
353,13.612251
354,13.614519
355,13.619103
356,13.62243
357,13.604497
358,13.610041
359,13.613618
360,13.617084
361,13.609815
362,13.613016
363,13.615906
364,13.620488
365,13.612818
366,13.618198
367,13.621341
368,13.624705
369,13.617722
370,13.620641
371,13.623793
372,13.627336
373,13.621047
374,13.625707
375,13.62755
376,13.63056
377,13.622814
378,13.626131
379,13.629551
380,13.632543
381,13.626677
382,13.632745
383,13.635212
384,13.637903
385,13.630396
386,13.631924
387,13.635466
388,13.639072
389,13.633672
390,13.637048
391,13.640179
392,13.642844
393,13.638777
394,13.640735
395,13.642197
396,13.646807
397,13.642362
398,13.646603
399,13.650209
400,13.653033
401,13.654847
402,13.657894
403,13.661252
404,13.664824
405,13.658295
406,13.661967
407,13.664795
408,13.667633
409,13.66095
410,13.663593
411,13.666176
412,13.669671
413,13.664532
414,13.66758
415,13.670366
416,13.673095
417,13.6583605
418,13.662312
419,13.665078
420,13.667895
421,13.660471
422,13.665254
423,13.667754
424,13.668048
425,13.66341
426,13.664437
427,13.666965
428,13.670443
429,13.666977
430,13.668402
431,13.671035
432,13.673797
433,13.669869
434,13.672791
435,13.675033
436,13.678297
437,13.681505
438,13.684362
439,13.686932
440,13.689249
441,13.675883
442,13.678869
443,13.680848
444,13.683998
445,13.67775
446,13.679361
447,13.681337
448,13.683599
449,13.679574
450,13.684535
451,13.687084
452,13.6895685
453,13.691094
