Iterations,MLUPS
0,0
1,301.6348609463292
2,466.53214989677986
3,592.680397095866
4,684.3124228366462
5,752.5322710922254
6,789.0065093037017
7,834.1459636272639
8,842.102308412953
9,875.3444642567678
10,904.0787512864288
11,928.9821311694618
12,950.9055394209778
13,969.1945247964692
14,983.7044670722496
15,997.9464479759431
16,1011.3801335443186
17,1024.6539783697556
18,1036.3261087969695
19,1046.803118371395
20,1056.5891541123333
21,1065.6148090012314
22,1069.7744153723343
23,1077.1513561569736
24,1084.4818925414006
25,1091.388508115565
26,1096.8828838457277
27,1102.8458187506935
28,1108.4872514068882
29,1113.7268757656875
30,1118.554330669517
31,1123.2379205121965
32,1119.185699138402
33,1122.9926506369866
34,1126.8028846153848
35,1130.565815888972
36,1134.2166920990257
37,1137.8074450533823
38,1141.072608251757
39,1137.559642884054
40,1141.1372859476078
41,1144.2307513409828
42,1147.2379790401444
43,1149.7090523099794
44,1152.9909852701035
45,1156.9397315814124
46,1160.6230863911476
47,1164.4318109557341
48,1168.0831026234011
49,1170.5886030060237
50,1168.465454318843
51,1171.6470600848181
52,1174.6616447371393
53,1177.7354665406465
54,1180.6401255851274
55,1183.4892490760715
56,1186.0972458539547
57,1184.50829398249
58,1187.3340120698645
59,1189.8947682612716
60,1192.012325407445
61,1194.5547884512011
62,1196.7417740088276
63,1198.726305731656
64,1196.2080205747782
65,1198.5698296002495
66,1200.6039401638402
67,1202.7631238810116
68,1204.849875114948
69,1206.54085029655
70,1208.667875334542
71,1210.6310456953543
72,1212.5189210490198
73,1214.2284285250535
74,1215.995267477878
75,1213.7591739964237
76,1215.5290230212136
77,1216.0880553041052
78,1217.766273182445
79,1219.4372117182259
80,1220.9422112789625
81,1223.0984405494883
82,1224.6470676672266
83,1225.5303064047248
84,1226.9980470281087
85,1228.4479643894615
86,1229.875975588392
87,1229.5000880906193
88,1229.8853760805464
89,1232.0240424646847
90,1233.1391063121193
91,1234.3287162054473
92,1235.4996656093297
93,1236.5111151934198
94,1234.9393237524814
95,1236.1282554630363
96,1237.2850700505269
97,1238.4449047354985
98,1239.6124482388018
99,1240.7416961690951
100,1241.8701488153697
101,1239.7016287756433
102,1240.0497154572197
103,1240.8798842327335
104,1239.9137783034166
105,1240.9685069770007
106,1242.0198758331637
107,1242.918077372231
108,1241.2340241400864
109,1242.2478227422528
110,1243.2422250268428
111,1244.1021897319354
112,1245.0116164030283
113,1245.9458520753544
114,1246.7791538525476
115,1247.6791359840065
116,1248.5500853355284
117,1249.3544112355048
118,1250.0114760940605
119,1248.1086085232187
120,1248.944901754872
121,1249.7882590139689
122,1250.6522356433838
123,1251.4857153419432
124,1252.2507692758254
125,1253.0559947284771
126,1251.2982633271129
127,1252.0654149956033
128,1252.8245647576537
129,1253.5746718314808
130,1254.3125032764895
131,1255.0587570287682
132,1255.8015414963925
133,1256.5405454771628
134,1257.2687806087872
135,1257.8503058750307
136,1258.5748120929297
137,1256.9451187484376
138,1257.5120397665403
139,1258.2128941476358
140,1258.8595990891852
141,1259.408721003454
142,1260.145129672188
143,1260.749061270935
144,1261.4079678060657
145,1260.3979206621523
146,1260.9768684157684
147,1261.6256948239018
148,1262.1734712456844
149,1262.807645156137
150,1263.4137692728507
151,1264.0311292081183
152,1262.777137696847
153,1263.3658046786923
154,1263.969669105326
155,1264.489279578308
156,1265.0322252092542
157,1265.5860550151067
158,1266.1326738758767
159,1266.6649760097107
160,1267.2312093702246
161,1267.7466485752484
162,1268.288405651869
163,1266.9165091657137
164,1267.4271229404312
165,1267.943968659499
166,1268.463563320466
167,1268.9572653945604
168,1269.4576179358241
169,1269.8975666057518
170,1268.5197667714483
171,1269.01622671012
172,1269.5141672614438
173,1270.0163695077144
174,1270.515663851736
175,1271.0127150901528
176,1271.3913705033108
177,1271.887056429389
178,1272.3296534652934
179,1272.3256727244295
180,1273.0956345904328
181,1271.6764630251284
182,1272.141020326996
183,1272.5890348721848
184,1273.0602350064582
185,1273.4895725297056
186,1273.774556969567
187,1274.2088321524
188,1274.6443962485225
189,1274.3223925526531
190,1274.747289736305
191,1275.1541117210809
192,1275.580962352756
193,1275.996640977409
194,1276.421038225959
195,1276.8494427534374
196,1275.646764299203
197,1276.0670706034307
198,1276.4834042651953
199,1276.8962310065697
200,1277.272971115749
201,1277.594613508561
202,1277.9368110858277
203,1275.6119952770937
204,1276.0232111124108
205,1276.6751145193148
206,1276.9529011006177
207,1276.2180869696388
208,1276.5999234040046
209,1276.9848331065346
210,1277.3562051734143
211,1277.7389712505703
212,1278.1138576380115
213,1278.3815969066766
214,1277.244144820387
215,1277.614549038709
216,1277.9654789574995
217,1278.320769560885
218,1278.6909958158062
219,1279.0470962856725
220,1279.3075302173409
221,1279.6824071463025
222,1280.0346877868544
223,1280.3939249614518
224,1280.6750987306166
225,1279.4910847904525
226,1279.8155253515315
227,1280.1138079447699
228,1280.3978667897645
229,1280.7310196408584
230,1281.0189930559488
231,1281.3393083559688
232,1280.1889382295046
233,1280.4785729130422
234,1280.663872800524
235,1280.8257747201874
236,1281.2161854158694
237,1281.4967016329622
238,1281.825031601296
239,1282.1484874581918
240,1281.9469640736145
241,1282.28434611036
242,1282.5995147498504
243,1282.9306429919914
244,1283.2273940298724
245,1283.5290307635717
246,1283.8328220037117
247,1284.1194969370893
248,1284.3844742776118
249,1284.6782513000921
250,1284.9644171936807
251,1284.1821840101754
252,1284.4780847820102
253,1284.7651482316835
254,1285.0485611756476
255,1285.3353818050948
256,1285.6300955961397
257,1285.9226495010173
258,1284.419305154048
259,1284.7020425439748
260,1284.9756365324506
261,1285.2159216093794
262,1285.428288433427
263,1285.7128540405483
264,1285.998938239008
265,1286.2500036403305
266,1286.4955450255306
267,1286.7604240044275
268,1287.0185926163554
269,1285.9457286284826
270,1286.2138675133026
271,1286.4829881217904
272,1286.732081329352
273,1286.9901637180346
274,1287.2586605337615
275,1287.489549876487
276,1286.5821293120705
277,1286.8393576178455
278,1287.1026832464217
279,1287.3399726444104
280,1287.6004232526536
281,1287.8506643201204
282,1288.088636332839
283,1288.3463232735592
284,1287.4749465611008
285,1287.70635776775
286,1287.93700637056
287,1288.194268074125
288,1288.425155248521
289,1288.6654442428874
290,1288.911134540322
291,1289.1310525755046
292,1289.3689907640853
293,1289.610500217026
294,1289.8495131695538
295,1289.2040956484554
296,1289.4276444138998
297,1289.6683381212213
298,1289.5239449739652
299,1289.702658836336
300,1289.9410539936362
301,1290.14458834708
302,1289.622347760331
303,1288.9120455069612
304,1289.1494327742498
305,1288.6528064428699
306,1288.8623410078442
307,1289.094755252904
308,1289.32394424567
309,1289.5067052609857
310,1289.7246458683082
311,1289.950175156016
312,1290.1800276685724
313,1289.4898543309043
314,1289.72351860125
315,1289.9278746042687
316,1290.097028769096
317,1290.3038482396446
318,1290.506726800132
319,1290.718667298584
320,1289.8308326402175
321,1290.050595302086
322,1290.2694980290667
323,1290.4775805822678
324,1290.6837596396285
325,1290.8989045431897
326,1291.1151868810025
327,1290.2916078763033
328,1290.5039043972677
329,1290.9430535197916
330,1291.1285578661325
331,1291.3402824693082
332,1291.546111016558
333,1291.7218730148181
334,1291.9239474542815
335,1292.1272039447294
336,1292.3290654422362
337,1292.4993043707382
338,1291.8573239137318
339,1292.0573726832774
340,1292.1972065230116
341,1292.3785355254079
342,1292.5675664184143
343,1292.7711416293603
344,1292.9512420193619
345,1293.144404311156
346,1292.5068843424249
347,1292.6906909692516
348,1292.862365699123
349,1293.0448390159174
350,1293.2269578209102
351,1293.4163510919113
352,1293.606862584406
353,1293.796034215835
354,1293.9327954211838
355,1294.1652892110058
356,1294.3439291179452
357,1293.5727010504572
358,1293.7438090925616
359,1293.9338291610877
360,1294.106876931874
361,1294.2148238864015
362,1294.363921143202
363,1294.518694026777
364,1293.7156223506672
365,1293.8941019166707
366,1294.078289497217
367,1294.2609928427719
368,1294.4076197461882
369,1294.5699107220385
370,1294.7297791056858
371,1293.9958592132505
372,1294.15416878252
373,1294.3222225004674
374,1294.491437060286
375,1294.6507791726249
376,1294.8235811479885
377,1294.996401833605
378,1295.077682676617
379,1295.2391758246172
380,1295.386096075605
381,1295.5410887430344
382,1294.7937484510635
383,1294.939485809847
384,1295.084715066186
385,1295.2218872089381
386,1295.3935893454661
387,1295.559317004785
388,1295.7075734942534
389,1295.8713616149023
390,1295.422767586596
391,1295.5909537708737
392,1295.698792339313
393,1295.8325902995555
394,1295.9755409286236
395,1296.0661275906557
396,1296.2257789629539
397,1296.3651217263448
398,1296.4947841059295
399,1296.625999333597
400,1296.7509095491926
401,1296.1827042250063
402,1296.3045270855898
403,1295.8211856796004
404,1295.4121035098399
405,1295.5742915621165
406,1295.6993313744656
407,1295.8395273083058
408,1295.3833975027887
409,1295.4837399105759
410,1295.6448845938553
411,1295.7886710552182
412,1295.5097589827776
413,1295.844621640825
414,1296.0105934778946
415,1295.360575061021
416,1295.5166352692465
417,1295.671447549309
418,1295.8316485282958
419,1295.9589895478896
420,1296.101147733569
421,1296.2494464255383
422,1296.3706587902764
423,1296.541126611481
424,1296.6783829849699
425,1296.8228044713637
426,1296.1519601255786
427,1296.3025928480527
428,1296.435997484066
429,1296.5704402189099
430,1296.7324403202767
431,1296.8668679401371
432,1297.0042704065759
433,1296.3639088096309
434,1296.5114779603502
435,1296.6651015604248
436,1296.8011494734346
437,1296.9348068662755
438,1297.0696097972384
439,1297.205615216015
440,1297.3461310632135
441,1297.492020497628
442,1297.6373458853814
443,1297.725781949357
444,1297.081843381165
445,1297.2065991960526
446,1297.3199386827257
447,1297.4415149937217
448,1297.587563627288
449,1297.6958624793062
450,1297.8421259653842
451,1297.9860925538915
452,1297.532535197723
453,1297.6606825475571
454,1297.8027589457154
455,1297.9444268691043
456,1298.0695532804652
457,1298.2065716523384
458,1298.3446153401305
459,1297.758172236259
460,1297.91529409773
461,1298.0500247643167
462,1298.1883949544306
463,1298.287181591914
464,1298.4192864514428
465,1298.5449873231294
466,1298.667518820461
467,1298.7984584625065
468,1298.92165448573
469,1299.0521443408509
470,1298.425815246807
471,1298.5602247970414
472,1298.6926035879321
473,1298.8159494049407
474,1298.9403405470805
475,1299.0638171253624
476,1299.1888667156413
477,1298.5885721573993
478,1298.6780697967013
479,1298.7909765389727
480,1298.907240163078
481,1298.990064481399
482,1299.1211077352332
483,1299.236897825778
484,1299.333161103084
485,1299.4441281669876
486,1299.5570319917877
487,1299.6676418028803
488,1299.0421117242768
489,1299.1313752580832
490,1299.2602480588325
491,1299.3736630807898
492,1299.4943021444872
493,1299.6154447564802
494,1299.690753406262
495,1299.8088274437698
496,1299.3959860802206
497,1299.518541889645
498,1299.623896325505
499,1299.7577909604843
500,1299.8591862543533
501,1299.9409664200516
502,1300.0563228252213
503,1298.833034238797
504,1298.9171824321454
505,1299.0396581373495
506,1298.7193540625085
507,1298.8425869391942
508,1298.9501346339655
509,1299.038490331819
510,1299.1624181012896
511,1299.2630347843565
512,1299.385093075225
513,1299.3716368785651
514,1299.422342724497
515,1299.475861247603
516,1299.5911450997294
517,1299.7063300558557
518,1299.815328360829
519,1299.9373283265572
520,1300.0540605813528
521,1299.5280335343086
522,1299.6467010862798
523,1299.767897406313
524,1299.887471255391
525,1299.9720072694436
526,1300.0885263068137
527,1300.2077248375574
528,1300.2585002552498
529,1300.3746135902422
530,1300.484937746645
531,1300.5969356205335
532,1300.021080542334
533,1300.136197194316
534,1300.239347117521
535,1300.3416536294926
536,1300.4557943898517
537,1300.5732048335792
538,1300.6832818076598
539,1300.130921656137
540,1300.2318385603257
541,1300.3447956764137
542,1300.4502829099201
543,1300.5407583006877
544,1300.659419183045
545,1300.7476036907663
546,1300.8726687486192
547,1300.7075302048902
548,1300.8126478868303
549,1300.897054218538
550,1301.0153241864073
551,1301.112754447043
552,1301.2120955678997
553,1301.316502450303
554,1301.415555651
555,1301.531511739013
556,1301.6100479301513
557,1301.6851681621831
558,1301.213972783874
559,1301.3077133753754
560,1301.3783998607528
561,1301.4641394238506
562,1301.5725443539218
563,1301.6493839765112
564,1301.773481720123
565,1301.2036594452936
566,1301.298351654268
567,1301.386650045233
568,1301.5013398436918
569,1301.5908345130194
570,1301.6583774752207
571,1301.7670404668306
572,1301.8710945052583
573,1301.9378234939643
574,1302.018306059818
575,1302.1191101567103
576,1301.5968175053927
577,1301.6767453870282
578,1301.7451680687016
579,1301.8551698490044
580,1301.93022753887
581,1302.0330951713363
582,1302.1184856227774
583,1301.2035500463421
584,1301.46028375177
585,1301.539287130246
586,1301.6093088610055
587,1301.6292132900558
588,1301.7479877883643
589,1301.8497391327414
590,1301.7763142314454
591,1301.8000120194397
592,1301.8783113230868
593,1301.9653602565231
594,1302.0186403476728
595,1302.0956810543985
596,1302.1563031083413
597,1302.2286104860814
598,1302.3016293905814
599,1302.3863530203369
600,1302.4623702340461
601,1302.5188062440427
602,1302.1696590792212
603,1301.8440127481404
604,1301.9380878862098
605,1301.738268845889
606,1301.8349894075532
607,1301.9133479077088
608,1302.0117187479088
609,1301.8588470767982
610,1301.9553555239886
611,1302.0114692080683
612,1302.0808400719209
613,1302.1564922325729
614,1302.2261988116234
615,1302.306257327458
616,1302.3830367710375
617,1302.3156593643182
618,1302.3331678021516
619,1302.2175109265834
620,1301.40847731185
621,1301.487387710473
622,1301.576085876121
623,1301.633009691699
624,1301.1940262404682
625,1301.2898176466144
626,1300.3994365905191
627,1300.4849681982685
628,1300.570642627556
629,1300.6599556886454
630,1300.706655344325
631,1300.840718994525
632,1300.9260040699226
633,1300.4831784658065
634,1300.5732471467652
635,1300.6627337493203
636,1300.759887837411
637,1300.8395282043589
638,1300.9356405252463
639,1301.0296560446116
640,1301.1260805741979
641,1301.2043888277497
642,1301.2955627003694
643,1301.3944991896308
644,1301.0013400583164
645,1301.0967943395633
646,1301.1658896206475
647,1301.2407105592165
648,1301.3086016866741
649,1301.3760296962382
650,1301.45090084596
651,1301.5284562403044
652,1301.2021118457058
653,1301.2903266733597
654,1301.3721118344274
655,1301.4649494791508
656,1301.557646388282
657,1301.6475384134615
658,1301.711202906443
659,1301.8030531989687
660,1301.893568030991
661,1301.9839497485411
662,1302.049144094455
663,1301.1628824349293
664,1301.2448020022448
665,1301.3306023872406
666,1301.4224293120978
667,1301.5119620884723
668,1301.5875861278823
669,1301.6721947740036
670,1301.2441350547695
671,1301.3150360552509
672,1301.4099705433343
673,1301.5013227095415
674,1301.590154365245
675,1301.665305596142
676,1301.7448805336153
677,1301.3196733424923
678,1301.4009382755262
679,1301.4781488559404
680,1301.564151528992
681,1301.6375147859778
682,1301.7251229894837
683,1301.8138511024201
684,1301.9053467228673
685,1301.837894195168
686,1301.856945848033
687,1302.040435083666
688,1301.1777676126767
689,1301.2571043869143
690,1301.326608178008
691,1301.0964357865917
692,1301.166402291507
693,1301.2435857891933
694,1301.3193359208672
695,1300.8448222835405
696,1300.919624942629
697,1300.9890005144227
698,1301.0490500151775
699,1301.1358972225494
