Iterations,MLUPS
0,0
1,778.9071484250047
2,1274.2660361623493
3,1619.7460303361775
4,1874.1173891491487
5,2069.6841863212376
6,2225.2981096638578
7,2351.0267880557794
8,2455.7192404157267
9,2542.9583882291104
10,2617.5537506658084
11,2681.947633905281
12,2738.290112691666
13,2787.7522034489302
14,2831.6348460757354
15,2870.560714563139
16,2905.3786239783954
17,2936.7086271970797
18,2965.3847298193655
19,2991.1716984936847
20,3014.9471308323214
21,3036.622165590339
22,3056.5179658609554
23,3074.902958019343
24,3092.085153961816
25,3107.844233451392
26,3122.70264694182
27,3136.42175747004
28,3148.906216347871
29,3160.791008408455
30,3172.1862139019645
31,3182.879584410396
32,3192.915043756428
33,3202.3050890592604
34,3211.204579433644
35,3219.4633695528696
36,3227.2681227725966
37,3234.7776024906184
38,3241.933880911928
39,3248.742017000113
40,3254.9705590180392
41,3260.838172292678
42,3266.3263083952247
43,3270.9631967592713
44,3276.392923304673
45,3281.462981684912
46,3284.4017333086103
47,3285.702829187647
48,3290.2478975653794
49,3294.493325381936
50,3295.9112642176456
51,3299.9094763512367
52,3303.7021418401046
53,3304.8616071873257
54,3308.4661663679576
55,3311.935091523675
56,3315.3010611373124
57,3318.4900089574476
58,3321.599650239547
59,3324.4682837960713
60,3327.2489794148337
61,3329.9089125716937
62,3332.5608695519845
63,3335.1463463573637
64,3337.644688193227
65,3340.0851800266823
66,3342.4201183642717
67,3344.574033258127
68,3346.644968807739
69,3348.6538770610823
70,3350.440513678719
71,3352.3017627396885
72,3354.1180438628376
73,3355.832936323756
74,3357.527407824404
75,3359.156994395484
76,3360.7030540377855
77,3362.1215960794852
78,3363.4969641153066
79,3364.849359529872
80,3366.2228554500075
81,3367.564019126719
82,3368.8618698317164
83,3370.117177436416
84,3371.2970454320534
85,3372.418606296655
86,3373.5248223232597
87,3374.5399933370063
88,3375.499651771817
89,3376.451557465869
90,3377.43805230091
91,3378.3466827735188
92,3379.272211461561
93,3380.1463270364466
94,3380.877831661876
95,3381.7267635429807
96,3382.51579942239
97,3383.268525760015
98,3383.9401890520544
99,3384.6017147117223
100,3385.2621462043553
101,3384.2500030407346
102,3384.837192549456
103,3385.4891864479364
104,3386.123628964568
105,3386.7257731303125
106,3387.3081187650146
107,3387.880669273797
108,3388.4348211335528
109,3388.9245307214987
110,3389.423028624183
111,3389.802112052736
112,3390.223747585317
113,3390.604549315502
114,3390.977190488299
115,3391.3783034842113
116,3391.7812826880286
117,3392.179459802131
118,3392.5517358995457
119,3392.90007552793
120,3393.2382755464328
121,3393.560059228568
122,3393.83560362782
123,3394.144170045574
124,3394.4130325633296
125,3394.6662602642973
126,3394.892497466754
127,3395.0997292198244
128,3395.291293546741
129,3395.4438980331784
130,3395.628636497529
