Iterations,MLUPS
0,0
1,57.15124
2,94.08858
3,119.48795
4,137.68289
5,152.52428
6,164.5281
7,174.27878
8,182.35931
9,189.2576
10,195.05966
11,200.10953
12,204.39171
13,208.2658
14,211.74487
15,214.79242
16,217.62953
17,220.18672
18,222.46822
19,224.65764
20,226.5518
21,228.2578
22,229.88
23,231.36629
24,232.7427
25,234.01799
26,235.48578
27,237.09778
28,238.53601
29,240.01735
30,241.4368
31,242.66652
32,243.93242
33,245.02173
34,246.12146
35,247.20483
36,248.22615
37,249.20992
38,250.17627
39,251.06665
40,251.88889
41,252.7069
42,253.47855
43,254.25848
44,254.9718
45,255.6458
46,256.281
47,256.90808
48,257.5503
49,258.091
50,258.67783
51,259.24588
52,259.7684
53,260.28635
54,260.80066
55,261.26636
56,261.71545
57,262.20892
58,262.6471
59,263.1316
60,263.517
61,263.94257
62,264.3271
63,264.7029
64,265.10007
65,265.4533
66,265.8069
67,266.10904
68,266.4278
69,266.74988
70,267.01373
71,267.2792
72,267.55875
73,267.77145
74,268.09143
75,268.3167
76,268.5395
77,268.78107
78,268.99893
79,269.23267
80,269.44968
81,269.69193
82,269.8838
83,270.0712
84,270.28238
85,270.48697
86,270.67435
87,270.86078
88,271.22302
89,271.4244
90,271.6353
91,271.8076
92,271.79327
93,271.97647
94,272.17188
95,272.3418
96,272.4624
97,272.7265
98,272.9313
99,273.14777
100,273.28015
101,273.37433
102,273.53024
103,273.85297
104,273.99802
105,274.13107
106,274.22684
107,274.36517
108,274.48737
109,274.61917
110,274.76086
111,274.91608
112,274.84552
113,274.96664
114,275.0789
115,275.19003
116,275.29428
117,275.39893
118,275.503
119,275.61194
120,275.72827
121,275.849
122,275.96365
123,276.0725
124,276.09387
125,276.14188
126,276.25162
127,276.3735
128,276.4901
129,276.60413
130,276.6913
131,276.78995
132,276.8885
133,277.0426
134,277.13892
135,277.23053
136,277.32352
137,277.43625
138,277.52927
139,277.6273
140,277.71954
141,277.80435
142,277.89252
143,278.03824
144,278.11688
145,278.18228
146,278.29593
147,278.3562
148,278.49188
149,278.56183
150,278.6219
151,278.7078
152,278.7548
153,278.82358
154,278.90042
155,278.97058
156,279.18744
157,279.25223
158,279.31647
159,279.37933
160,279.43228
161,279.48373
162,279.55154
163,279.61722
164,279.68295
165,279.7322
166,279.7916
167,279.89548
168,279.9711
169,280.0153
170,280.07697
171,280.12708
172,280.1951
173,280.2245
174,280.2936
175,280.34772
176,280.3905
177,280.44003
178,280.50232
179,280.5363
180,280.58255
181,280.62064
182,280.70627
183,280.75604
184,280.81454
185,280.88464
186,280.92148
187,280.96136
188,281.0568
189,281.09732
190,281.13934
191,281.2038
192,281.27353
193,281.38205
194,281.42026
195,281.60263
196,281.62027
197,281.6577
198,281.69125
199,281.72733
200,281.78256
201,281.6445
202,281.67477
203,281.77747
204,281.84543
205,281.8763
206,281.91187
207,281.9589
208,281.99203
209,282.04727
210,282.12274
211,282.15506
212,282.19064
213,282.2301
214,282.26376
215,282.2713
216,282.31744
217,282.35544
218,282.39163
219,282.50406
220,282.55344
221,282.59207
222,282.62756
223,282.67307
224,282.7166
225,282.74802
226,282.7813
227,282.87042
228,282.89874
229,282.93832
230,282.97137
231,282.99997
232,283.03748
233,283.07388
234,283.10568
235,283.14014
236,283.17715
