Iterations,MLUPS
0,348
1,348.3
2,348.6
3,348.9
4,349.19998
5,349.5
6,349.8
7,350.1
8,350.4
9,350.69998
10,351
11,351.3
12,351.6
13,351.9
14,352.19998
15,352.5
16,352.8
17,353.1
18,353.4
19,353.69998
20,354
21,354.3
22,354.6
23,354.9
24,355.19998
25,355.5
26,355.8
27,356.1
28,356.4
29,356.69998
30,357
31,357.3
32,357.6
33,357.9
34,358.19998
35,358.5
36,358.8
37,359.1
38,359.4
39,359.69998
40,360
41,360.3
42,360.6
43,360.9
44,361.19998
45,361.5
46,361.8
47,362.1
48,362.4
49,362.69998
50,363
51,363.3
52,363.59998
53,363.9
54,364.19998
55,364.5
56,364.8
57,365.09998
58,365.4
59,365.69998
60,366
61,366.3
62,366.59998
63,366.9
64,367.19998
65,367.5
66,367.8
67,368.09998
68,368.4
69,368.69998
70,369
71,369.3
72,369.59998
73,369.9
74,370.19998
75,370.5
76,370.8
77,371.09998
78,371.4
79,371.69998
80,372
81,372.3
82,372.59998
83,372.9
84,373.19998
85,373.5
86,373.8
87,374.09998
88,374.4
89,374.69998
90,375
91,375.3
92,375.59998
93,375.9
94,376.19998
95,376.5
96,376.8
97,377.09998
98,377.4
99,377.69998
100,378
101,378.3
102,378.59998
103,378.9
104,379.19998
105,379.5
106,379.8
107,380.09998
108,380.4
109,380.69998
110,381
111,381.3
112,381.59998
113,381.9
114,382.19998
115,382.5
116,382.8
117,383.09998
118,383.4
119,383.69998
120,384
121,384.3
122,384.59998
123,384.9
124,385.19998
125,385.5
126,385.8
127,386.09998
128,386.4
129,386.69998
130,387
131,387.3
132,387.59998
133,387.9
134,388.19998
135,388.5
136,388.8
137,389.09998
138,389.4
139,389.69998
140,390
141,390.3
142,390.59998
143,390.9
144,391.19998
145,391.5
146,391.8
147,392.09998
148,392.4
149,392.69998
150,393
151,393.3
152,393.59998
153,393.9
154,394.19998
155,394.5
156,394.8
157,395.09998
158,395.4
159,395.69998
160,396
161,396.3
162,396.59998
163,396.9
164,397.19998
165,397.5
166,397.8
167,398.09998
168,398.4
169,398.69998
170,399
171,399.3
172,399.59998
173,399.9
174,400.19998
175,400.5
176,400.8
177,401.09998
178,401.4
179,401.69998
180,402
181,402.3
182,402.59998
183,402.9
184,403.19998
185,403.5
186,403.8
187,404.09998
188,404.4
189,404.69998
190,405
191,405.3
192,405.59998
193,405.9
194,406.19998
195,406.5
196,406.8
197,407.09998
198,407.4
199,407.69998
200,408
201,408.3
202,408.59998
203,408.9
204,409.19998
205,409.5
206,409.8
207,410.09998
208,410.4
209,410.69998
210,411
211,411.3
212,411.59998
213,411.9
214,412.19998
215,412.5
216,412.8
217,413.09998
218,413.4
219,413.69998
220,414
221,414.3
222,414.59998
223,414.9
224,415.19998
225,415.5
226,415.8
227,416.09998
228,416.4
229,416.69998
230,417
231,417.3
232,417.59998
233,417.9
234,418.19998
235,418.5
236,418.8
237,419.09998
238,419.4
239,419.69998
240,420
241,420.3
242,420.59998
243,420.9
244,421.19998
245,421.5
246,421.8
247,422.09998
248,422.4
249,422.69998
250,423
251,423.3
252,423.59998
253,423.9
254,424.19998
255,424.5
256,424.8
257,425.09998
258,425.4
259,425.69998
260,426
261,426.3
262,426.59998
263,426.9
264,427.19998
265,427.5
266,427.8
267,428.09998
268,428.4
269,428.69998
270,429
271,429.3
272,429.59998
273,429.9
274,430.19998
275,430.5
276,430.8
277,431.09998
278,431.4
279,431.69998
280,432
281,432.3
282,432.59998
283,432.9
284,433.19998
285,433.5
286,433.8
287,434.09998
288,434.4
289,434.69998
290,435
291,435.3
292,435.59998
293,435.9
294,436.19998
295,436.5
296,436.8
297,437.09998
298,437.4
299,437.69998
300,438
301,438.3
302,438.59998
303,438.9
304,439.19998
305,439.5
306,439.8
307,440.09998
308,440.4
309,440.69998
310,441
311,441.3
312,441.59998
313,441.9
314,442.19998
315,442.5
316,442.8
317,443.09998
318,443.4
319,443.69998
320,444
321,444.3
322,444.59998
323,444.9
324,445.19998
325,445.5
326,445.8
327,446.09998
328,446.4
329,446.69998
330,447
331,447.3
332,447.59998
333,447.9
334,448.19998
335,448.5
336,448.8
337,449.09998
338,449.4
339,449.69998
340,450
341,450.3
342,450.59998
343,450.9
344,451.19998
345,451.5
346,451.8
347,452.09998
348,452.4
349,452.69998
350,453
351,453.3
352,453.59998
353,453.9
354,454.19998
355,454.5
356,454.8
357,455.09998
358,455.4
359,455.69998
360,456
361,456.3
362,456.59998
363,456.9
364,457.19998
365,457.5
366,457.8
367,458.09998
368,458.4
369,458.69998
370,459
371,459.3
372,459.59998
373,459.9
374,460.19998
375,460.5
376,460.8
377,461.09998
378,461.4
379,461.69998
380,462
381,462.3
382,462.59998
383,462.9
384,463.19998
385,463.5
386,463.8
387,464.09998
388,464.4
389,464.69998
390,465
391,465.3
392,465.59998
393,465.9
394,466.19998
395,466.5
396,466.8
397,467.09998
398,467.4
399,467.69998
400,468
401,468.3
402,468.59998
403,468.9
404,469.19998
405,469.5
406,469.8
407,470.09998
408,470.4
409,470.69998
410,471
411,471.3
412,471.59998
413,471.9
414,472.19998
415,472.5
416,472.8
417,473.09998
418,473.4
419,473.69998
420,474
421,474.3
422,474.59998
423,474.9
424,475.19998
425,475.5
426,475.8
427,476.09998
428,476.4
429,476.69998
430,477
431,477.3
432,477.59998
433,477.9
434,478.19998
435,478.5
436,478.8
437,479.09998
438,479.4
439,479.69998
440,480
441,480.3
442,480.59998
443,480.9
444,481.19998
445,481.5
446,481.8
447,482.09998
448,482.4
449,482.69998
450,483
451,483.3
452,483.59998
453,483.9
454,484.19998
455,484.5
456,484.8
457,485.09998
458,485.4
459,485.69998
460,486
461,486.3
462,486.59998
463,486.9
464,487.19998
465,487.5
466,487.8
467,488.09998
468,488.4
469,488.69998
470,489
471,489.3
472,489.59998
473,489.9
474,490.19998
475,490.5
476,490.8
477,491.09998
478,491.4
479,491.69998
480,492
481,492.3
482,492.59998
483,492.9
484,493.19998
485,493.5
486,493.8
487,494.09998
488,494.4
489,494.69998
490,495
491,495.3
492,495.59998
493,495.9
494,496.19998
495,496.5
496,496.8
497,497.09998
498,497.4
499,497.69998
500,498
501,498.3
502,498.59998
503,498.9
504,499.19998
505,499.5
506,499.8
507,500.09998
508,500.4
509,500.69998
510,501
511,501.3
512,501.59998
513,501.9
514,502.19998
515,502.5
516,502.8
517,503.09998
518,503.4
519,503.69998
520,504
521,504.3
522,504.59998
523,504.9
524,505.19998
525,505.5
526,505.8
527,506.09998
528,506.4
529,506.69998
530,507
531,507.3
532,507.59998
533,507.9
534,508.19998
535,508.5
536,508.8
537,509.09998
538,509.4
539,509.69998
540,510
541,510.3
542,510.59998
543,510.9
544,511.19998
545,511.5
546,511.8
547,512.1
548,512.39996
549,512.7
550,513
551,513.3
552,513.6
553,513.89996
554,514.2
555,514.5
556,514.8
557,515.1
558,515.39996
559,515.7
560,516
561,516.3
562,516.6
563,516.89996
564,517.2
565,517.5
566,517.8
567,518.1
568,518.39996
569,518.7
570,519
571,519.3
572,519.6
573,519.89996
574,520.2
575,520.5
576,520.8
577,521.1
578,521.39996
579,521.7
580,522
581,522.3
582,522.6
583,522.89996
584,523.2
585,523.5
586,523.8
587,524.1
588,524.39996
589,524.7
590,525
591,525.3
592,525.6
593,525.89996
594,526.2
595,526.5
596,526.8
597,527.1
598,527.39996
599,527.7
600,528
601,528.3
602,528.6
603,528.89996
604,529.2
605,529.5
606,529.8
607,530.1
608,530.39996
609,530.7
610,531
611,531.3
612,531.6
613,531.89996
614,532.2
615,532.5
616,532.8
617,533.1
618,533.39996
619,533.7
620,534
621,534.3
622,534.6
623,534.89996
624,535.2
625,535.5
626,535.8
627,536.1
628,536.39996
629,536.7
630,537
631,537.3
632,537.6
633,537.89996
634,538.2
635,538.5
636,538.8
637,539.1
638,539.39996
639,539.7
640,540
641,540.3
642,540.6
643,540.89996
644,541.2
645,541.5
646,541.8
647,542.1
648,542.39996
649,542.7
650,543
651,543.3
652,543.6
653,543.89996
654,544.2
655,544.5
656,544.8
657,545.1
658,545.39996
659,545.7
660,546
661,546.3
662,546.6
663,546.89996
664,547.2
665,547.5
666,547.8
667,548.1
668,548.39996
669,548.7
670,549
671,549.3
672,549.6
673,549.89996
674,550.2
675,550.5
676,550.8
677,551.1
678,551.39996
679,551.7
680,552
681,552.3
682,552.6
683,552.89996
684,553.2
685,553.5
686,553.8
687,554.1
