Iterations,MLUPS
0,0
1,92.08244
2,163.8318
3,224.24124
4,275.41342
5,319.02487
6,356.39017
7,389.33374
8,418.37943
9,442.7676
10,465.32565
11,483.23254
12,500.3034
13,516.8047
14,524.6957
15,538.9267
16,551.9227
17,564.01025
18,575.424
19,586.04065
20,595.8739
21,605.05145
22,613.7688
23,621.31976
24,628.8815
25,635.43774
26,642.2507
27,648.467
28,647.365
29,653.2381
30,658.80994
31,664.1243
32,669.2084
33,674.0327
34,678.62695
35,683.0122
36,687.2703
37,691.2962
38,695.13837
39,698.8557
40,702.4637
41,705.8599
42,709.1416
43,711.71814
44,713.6789
45,715.51404
46,717.98376
47,720.53467
48,722.39856
49,724.68915
50,726.72107
51,728.8113
52,731.13043
53,733.4518
54,735.66614
55,737.8232
56,739.93
57,742.0054
58,743.96344
59,745.9111
60,747.80774
61,749.6851
62,751.3484
63,752.3594
64,753.5905
65,755.1917
66,756.768
67,758.34296
68,759.8429
69,761.3459
70,762.5405
71,763.91815
72,765.338
73,766.73627
74,768.06165
75,769.01654
76,769.939
77,770.8739
78,771.77893
79,772.64105
80,773.504
81,774.34985
82,775.1824
83,775.65027
84,776.4973
85,777.50507
86,778.55334
87,779.5739
88,780.5664
89,781.5527
90,782.54956
91,783.46204
92,784.369
93,785.2455
94,786.1463
95,787.0081
96,787.8876
97,788.72235
98,789.5729
99,790.38
100,791.00836
101,789.77875
102,790.2923
103,790.91235
104,791.4461
105,792.1126
106,792.801
107,793.3153
108,793.74414
109,794.1487
110,794.5649
111,794.9678
112,795.48883
113,794.4081
114,794.70953
115,792.8924
116,793.30884
117,793.72284
118,794.1425
119,794.5327
120,794.92896
121,794.8591
122,795.07794
123,795.6373
124,796.1977
125,796.78174
126,797.37726
127,797.7984
128,798.1389
129,798.5725
130,799.11456
131,799.6788
132,800.21826
133,800.746
134,801.2072
135,801.5183
136,801.8374
137,802.1198
138,802.4218
139,802.7409
140,803.0416
141,803.3508
142,803.41736
143,803.77856
144,804.2351
145,804.68854
146,805.1532
147,805.60406
148,806.07806
149,806.5322
150,806.97833
151,807.4123
152,807.8633
153,808.1897
154,808.4189
155,808.6561
156,808.8995
157,809.11816
158,809.3558
159,809.5698
160,809.8087
161,810.03864
162,809.3406
163,809.50214
164,809.7813
165,810.0987
166,810.27295
167,810.4764
168,810.7779
169,810.93646
170,811.07434
171,811.25354
172,811.4283
173,811.50354
174,811.8121
175,812.0291
176,812.2108
177,812.3592
178,812.6169
179,812.74347
180,812.8613
181,813.0945
182,812.7577
183,812.8218
184,812.9882
185,813.21027
186,813.45984
187,813.7258
188,813.95154
189,814.23914
190,814.49945
191,814.7392
192,815.00446
193,815.2567
194,815.3785
195,815.51086
196,815.6404
197,815.7774
198,815.8936
199,816.0389
200,816.0627
201,815.0557
202,815.2819
203,814.87866
204,815.0722
205,815.3174
206,815.5586
207,815.82874
208,816.0813
209,816.34125
210,816.61163
211,816.7251
212,816.71173
213,816.9213
214,817.18805
215,817.45667
216,817.7136
217,817.9778
218,818.2362
219,818.50665
220,818.7399
221,818.77203
222,818.9648
223,819.2129
224,818.9481
225,819.10895
226,819.2235
227,819.4283
228,819.53424
229,819.64026
230,819.7467
231,819.8432
232,819.9736
233,820.09625
234,820.2081
235,820.3292
236,820.43976
237,820.5662
238,820.6875
239,820.78534
240,820.89685
241,821.0218
242,821.1417
243,821.2399
244,821.18097
245,821.3598
246,821.57196
247,821.77673
248,821.99164
249,822.2255
250,822.45154
251,822.66064
252,822.77716
253,822.8773
254,822.9902
255,823.0947
256,823.1945
257,823.3001
258,823.4099
259,823.4975
260,823.5948
261,823.69037
262,823.79846
