Iterations,MLUPS
0,0
1,27.356737
2,54.21543
3,80.606445
4,106.54175
5,132.01936
6,157.05463
7,181.60135
8,205.7294
9,229.44493
10,252.74332
11,274.87814
12,297.1366
13,319.29474
14,341.1029
15,362.56433
16,383.69485
17,404.4916
18,424.86533
19,444.89752
20,464.61096
21,484.03006
22,501.94885
23,520.3671
24,538.8637
25,556.23663
26,574.18384
27,591.9802
28,609.5114
29,626.78534
30,643.8173
31,660.62726
32,677.22095
33,693.5508
34,709.69006
35,725.4177
36,740.8195
37,756.1519
38,771.1602
39,786.07904
40,800.6543
41,815.1876
42,829.398
43,843.45874
44,857.4046
45,871.0757
46,884.6415
47,898.036
48,911.18884
49,924.20856
50,937.0286
51,949.6347
52,962.1256
53,974.5083
54,986.7056
55,998.8837
56,1010.94824
57,1022.76154
58,1034.3917
59,1046.1494
60,1057.7502
61,1069.032
62,1080.2385
63,1091.2296
64,1102.1725
65,1112.9807
66,1123.5822
67,1134.076
68,1144.5326
69,1154.7344
70,1164.8715
71,1174.7874
72,1184.838
73,1194.8448
74,1204.7552
75,1214.5651
76,1224.2571
77,1233.8419
78,1243.3146
79,1252.7095
80,1261.7919
81,1270.6506
82,1279.9587
83,1288.8531
84,1297.6681
85,1306.3779
86,1314.8608
87,1323.0122
88,1331.5767
89,1340.0386
90,1348.4164
91,1356.7313
92,1364.9548
93,1373.0984
94,1381.1438
95,1389.1422
96,1397.0626
97,1404.8828
98,1412.6642
99,1420.3608
100,1427.9683
101,1435.0782
102,1442.6041
103,1449.7601
104,1457.0276
105,1464.0159
106,1470.8943
107,1477.6985
108,1484.4585
109,1490.493
110,1495.2972
111,1501.4271
112,1508.2083
113,1514.9592
114,1521.7076
115,1528.3644
116,1534.7509
117,1540.9323
118,1546.8716
119,1553.2875
120,1559.4042
121,1561.5146
122,1567.7721
123,1573.9856
124,1580.1237
125,1586.3098
126,1592.3835
127,1598.3823
128,1604.3894
129,1610.3153
130,1616.1757
131,1622.0071
132,1627.7788
133,1633.4946
134,1638.9647
135,1644.5919
136,1650.1556
137,1655.6451
138,1661.1455
139,1666.586
140,1671.98
141,1677.332
142,1682.4612
143,1687.4896
144,1692.5374
145,1697.6158
146,1702.6624
147,1707.6022
148,1712.5823
149,1717.6342
150,1722.6416
151,1727.5453
152,1732.4321
153,1737.3182
154,1742.3069
155,1747.045
156,1751.7802
157,1756.4565
158,1761.1168
159,1765.732
160,1770.2654
161,1774.8171
162,1779.3254
163,1783.8076
164,1788.1616
165,1792.639
166,1796.9542
167,1801.284
168,1805.622
169,1809.91
170,1814.1833
171,1818.6355
172,1823.0897
173,1827.5393
174,1831.9087
175,1836.2191
176,1840.5255
177,1844.8007
178,1848.8557
179,1852.4952
180,1856.6309
181,1860.8042
182,1864.7681
183,1868.7102
184,1872.6152
185,1876.302
186,1880.1552
187,1883.8944
188,1887.6576
189,1891.4313
190,1895.1163
191,1898.8417
192,1902.5581
193,1906.2317
194,1909.8955
195,1913.383
196,1917.183
197,1920.9935
198,1924.7761
199,1928.5543
200,1932.1812
201,1935.5989
202,1939.1294
203,1942.7909
204,1946.3636
205,1949.9705
206,1953.3818
207,1956.7542
208,1960.1124
209,1963.4073
210,1966.6752
211,1965.1483
212,1968.0085
213,1970.8834
214,1973.7388
215,1976.5734
216,1979.4171
217,1982.2178
218,1985.0087
219,1987.3956
220,1987.1558
221,1989.9064
222,1992.6469
223,1995.3734
224,1998.0685
225,2000.6614
226,2003.3958
227,2006.3958
228,2009.3329
229,2012.307
230,2015.3335
231,2018.3452
232,2021.3384
233,2024.3278
234,2027.3009
235,2030.0803
236,2032.9248
237,2035.7799
238,2038.6714
239,2041.5444
240,2044.2662
241,2047.0071
242,2049.6472
243,2052.5667
244,2055.491
245,2058.3416
246,2061.02
247,2063.696
248,2066.3733
249,2069.0579
250,2071.7478
251,2074.3762
252,2077.0298
253,2079.6348
254,2082.213
255,2084.8293
256,2087.425
257,2089.9963
258,2092.3381
259,2094.7598
260,2097.285
261,2099.7783
262,2102.2798
263,2104.7673
264,2107.2292
265,2109.6726
266,2112.1125
267,2114.5215
268,2116.9482
269,2119.337
270,2121.7659
271,2124.144
272,2126.5195
